;unnamed: 1_level_0;falta de provas;não era importante;não acreditavam na polícia;não queriam envolver a polícia ou medo de represália;outro
;1.768869295502065;4.643458916873252;3.1438208991859162;2.694973305533619;3.268807523593266;4.890174280777566
sem instrução;5.99;14.06;14.54;10.48;11.67;18.54
fundamental incompleto ou equivalente;2.86;6.97;5.35;4.72;5.59;8.66
fundamental completo ou equivalente;4.31;12.65;8.62;6.91;8.8;14.06
médio incompleto ou equivalente;3.97;12.44;7.69;6.06;8.04;12.87
médio completo ou equivalente;2.78;8.7;5.24;4.27;6.12;8.67
superior incompleto ou equivalente;5.63;15.92;10.25;8.98;13.79;17.73
superior completo ou equivalente;5.6;18.23;11.27;8.18;14.39;15.07
norte (1);4.59;12.32;7.47;5.84;7.97;12.42
sem instrução;15.64;32.51;40.35;28.29;27.71;50.3
fundamental incompleto ou equivalente;6.78;17.38;12.57;7.95;12.91;20.59
fundamental completo ou equivalente;10.38;32.13;17.56;14.24;23.85;33.79
médio incompleto ou equivalente;8.43;25.51;17.24;11.18;20.36;33.69
médio completo ou equivalente;6.07;20.96;12.01;8.09;13.0;29.69
superior incompleto ou equivalente;14.25;50.67;28.16;18.18;33.61;57.89
superior completo ou equivalente;14.29;44.27;31.06;20.67;35.66;41.13
nordeste (1);3.07;8.04;4.95;4.52;4.78;7.45
sem instrução;7.91;19.14;18.94;13.62;15.18;27.49
fundamental incompleto ou equivalente;4.54;10.45;7.6;8.29;8.27;13.27
fundamental completo ou equivalente;7.13;21.92;13.94;11.75;12.29;22.36
médio incompleto ou equivalente;6.0;20.37;11.43;8.73;11.61;19.35
médio completo ou equivalente;4.56;16.96;8.14;6.4;8.41;12.43
superior incompleto ou equivalente;8.44;25.87;14.89;13.88;18.99;32.09
superior completo ou equivalente;9.08;45.01;17.47;12.35;19.82;29.73
sudeste (1);3.09;8.72;6.07;5.07;6.33;8.92
sem instrução;14.72;38.77;43.89;25.16;24.96;34.62
fundamental incompleto ou equivalente;5.84;17.34;11.78;9.69;11.38;17.95
fundamental completo ou equivalente;7.88;22.44;15.76;13.79;15.57;24.76
médio incompleto ou equivalente;8.7;29.59;17.57;13.43;18.14;24.77
médio completo ou equivalente;5.0;13.88;9.94;8.58;12.14;15.78
superior incompleto ou equivalente;9.74;25.2;17.29;15.77;27.62;26.79
superior completo ou equivalente;8.74;26.65;17.71;13.94;23.21;20.29
sul (1);4.84;11.22;8.84;8.5;11.13;11.79
sem instrução;19.52;40.21;39.43;78.29;44.58;56.69
fundamental incompleto ou equivalente;9.18;19.12;17.82;15.57;20.86;22.16
fundamental completo ou equivalente;11.25;25.15;28.07;17.94;29.48;37.57
médio incompleto ou equivalente;11.99;31.8;21.61;23.26;22.08;44.5
médio completo ou equivalente;8.84;20.66;15.73;18.06;22.1;22.45
superior incompleto ou equivalente;15.54;51.08;27.99;26.12;40.01;38.34
superior completo ou equivalente;14.41;46.81;26.01;20.48;52.98;33.31
centro-oeste (1);5.24;13.21;9.1;7.97;11.08;14.36
sem instrução;20.05;57.85;50.14;30.67;58.01;56.67
fundamental incompleto ou equivalente;7.88;19.66;15.32;12.34;16.54;21.34
fundamental completo ou equivalente;12.81;35.68;25.58;21.19;34.04;38.86
médio incompleto ou equivalente;11.14;30.82;21.51;19.2;21.62;32.22
médio completo ou equivalente;9.76;35.47;15.88;15.65;23.73;30.34
superior incompleto ou equivalente;17.93;42.3;37.99;26.62;58.67;72.46
superior completo ou equivalente;18.7;35.88;45.23;30.94;59.23;73.43
