;Unnamed: 1_level_0;Falta de provas;Não era importante;Não acreditavam na polícia;Não queriam envolver a polícia ou medo de represália;Outro
Brasil (1);1.7700860490074835;4.66235522319434;3.1520874133222003;2.7063669448714625;3.2683255678483127;4.904971262123441
Sem rendimento a menos de 1/4 do salário mínimo (2);5.18;12.74;11.41;7.43;10.12;16.35
1/4 a menos de 1/2 salário mínimo ;3.91;9.96;7.56;6.14;6.6;11.6
1/2 a menos de 1 salário mínimo ;2.97;7.8;5.52;5.01;5.61;9.4
1 a menos de 2 salários mínimos ;2.99;8.63;5.39;4.83;6.6;8.93
2 salários mínimos ou mais ;3.76;9.62;6.77;5.76;9.23;10.27
Norte (1);4.64;12.31;7.49;5.84;8.02;12.42
Sem rendimento a menos de 1/4 do salário mínimo (2);11.33;25.45;32.92;12.26;24.52;27.95
1/4 a menos de 1/2 salário mínimo ;8.29;23.22;16.24;9.64;15.76;25.82
1/2 a menos de 1 salário mínimo ;6.86;16.76;11.12;9.48;13.82;25.56
1 a menos de 2 salários mínimos ;7.02;23.87;13.69;9.79;16.02;27.37
2 salários mínimos ou mais ;11.15;32.43;18.8;14.7;27.37;33.26
Nordeste (1);3.09;8.07;4.97;4.55;4.79;7.52
Sem rendimento a menos de 1/4 do salário mínimo (2);6.57;16.7;13.58;9.74;12.77;21.92
1/4 a menos de 1/2 salário mínimo ;5.43;13.71;10.26;9.32;8.15;14.55
1/2 a menos de 1 salário mínimo ;4.72;13.07;7.87;8.33;8.42;14.4
1 a menos de 2 salários mínimos ;5.3;15.56;8.95;8.24;9.96;14.62
2 salários mínimos ou mais ;6.61;19.52;11.91;9.7;15.94;20.21
Sudeste (1);3.07;8.76;6.07;5.1;6.32;8.92
Sem rendimento a menos de 1/4 do salário mínimo (2);15.61;46.36;42.16;22.92;29.36;34.37
1/4 a menos de 1/2 salário mínimo ;10.22;24.6;19.66;15.84;22.84;35.66
1/2 a menos de 1 salário mínimo ;5.81;15.31;11.71;10.38;10.53;17.78
1 a menos de 2 salários mínimos ;5.4;16.2;10.41;8.93;11.56;16.32
2 salários mínimos ou mais ;5.96;15.78;10.88;9.39;13.81;14.89
Sul (1);4.84;11.22;8.92;8.5;11.13;11.79
Sem rendimento a menos de 1/4 do salário mínimo (2);23.61;46.37;61.53;32.69;60.14;100.13
1/4 a menos de 1/2 salário mínimo ;17.42;38.85;34.81;30.37;34.05;62.07
1/2 a menos de 1 salário mínimo ;9.76;21.7;20.1;17.79;18.71;26.4
1 a menos de 2 salários mínimos ;7.33;19.28;13.6;15.02;18.65;20.24
2 salários mínimos ou mais ;9.05;19.84;15.35;14.49;26.96;19.29
Centro-Oeste (1);5.24;13.45;9.1;7.97;11.08;14.36
Sem rendimento a menos de 1/4 do salário mínimo (2);20.87;50.49;31.98;34.08;35.3;99.78
1/4 a menos de 1/2 salário mínimo ;12.67;30.74;22.17;20.31;21.82;44.77
1/2 a menos de 1 salário mínimo ;8.93;24.45;17.85;13.98;19.45;23.1
1 a menos de 2 salários mínimos ;8.49;20.64;13.83;14.22;23.79;25.41
2 salários mínimos ou mais ;9.89;25.28;18.19;17.34;29.65;32.88
