;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.54;0.67;3.31;1.81
urbana;0.0;0.56;0.69;3.34;1.86
rural;0.0;2.13;2.64;22.04;9.49
norte;0.0;1.07;1.43;6.36;3.28
rondônia;0.0;3.97;5.2;33.54;11.59
acre;0.0;5.81;6.28;37.4;22.91
amazonas;0.0;3.4;4.6;15.92;9.73
roraima;0.0;7.41;7.74;36.9;15.55
pará;0.0;1.22;1.66;7.81;3.83
amapá;0.0;5.3;7.77;24.77;12.33
tocantins;0.0;5.92;6.4;33.44;24.72
nordeste;0.0;0.87;1.13;4.9;2.8
maranhão;0.0;3.54;4.87;25.51;10.5
piauí;0.0;3.18;4.34;20.87;14.94
ceará;0.0;1.47;1.93;8.56;4.89
rio grande do norte;0.0;3.53;4.85;14.05;10.46
paraíba;0.0;5.16;5.29;20.85;11.86
pernambuco;0.0;1.76;2.45;10.48;5.25
alagoas;0.0;5.03;7.55;26.89;10.63
sergipe;0.0;4.97;6.86;18.89;11.41
bahia;0.0;1.28;1.67;7.58;5.62
sudeste;0.0;1.01;1.22;6.7;3.6
minas gerais;0.0;2.03;2.46;12.57;7.13
espírito santo;0.0;3.5;4.24;21.91;12.24
rio de janeiro;0.0;2.19;2.5;13.67;6.54
são paulo;0.0;1.42;1.75;9.5;5.45
sul;0.0;1.62;1.92;11.07;5.33
paraná;0.0;2.36;2.85;16.92;8.49
santa catarina;0.0;7.52;8.0;55.66;19.29
rio grande do sul;0.0;2.06;2.51;13.89;6.49
centro-oeste;0.0;1.5;1.68;9.59;5.33
mato grosso do sul;0.0;4.47;5.28;23.5;13.06
mato grosso;0.0;4.32;4.59;29.6;15.41
goiás;0.0;2.12;2.27;17.41;10.01
