;total;própria residência ou de terceiros;estabele-cimento comercial;via pública;transporte coletivo;outro
brasil (1);1.45;3.45;3.92;1.61;4.14;6.75
sem rendimento a menos de 1/4 do salário mínimo (2);4.42;10.61;17.59;4.97;14.71;25.35
1/4 a menos de 1/2 salário mínimo ;3.3;8.34;11.35;3.69;11.63;16.92
1/2 a menos de 1 salário mínimo ;2.4;6.04;8.07;2.76;7.18;12.04
1 a menos de 2 salários mínimos ;2.31;6.44;6.72;2.65;7.19;12.51
2 salários mínimos ou mais ;2.81;6.79;7.01;3.15;9.38;13.52
norte (1);3.76;7.11;9.69;3.95;10.57;17.71
sem rendimento a menos de 1/4 do salário mínimo (2);10.74;18.09;34.37;11.74;33.83;54.28
1/4 a menos de 1/2 salário mínimo ;7.15;16.09;24.99;8.4;24.04;36.98
1/2 a menos de 1 salário mínimo ;5.32;12.94;19.36;5.59;19.15;26.67
1 a menos de 2 salários mínimos ;5.59;14.9;21.5;6.46;18.61;37.13
2 salários mínimos ou mais ;7.72;14.13;18.4;8.98;33.09;41.15
nordeste (1);2.77;6.34;6.7;3.03;5.97;11.11
sem rendimento a menos de 1/4 do salário mínimo (2);5.62;12.45;23.13;6.57;17.52;35.5
1/4 a menos de 1/2 salário mínimo ;4.85;13.2;15.85;5.15;14.09;24.84
1/2 a menos de 1 salário mínimo ;4.08;10.86;12.44;4.65;9.97;20.09
1 a menos de 2 salários mínimos ;4.38;12.69;13.54;4.92;11.0;25.98
2 salários mínimos ou mais ;5.56;16.23;14.25;5.9;14.64;28.64
sudeste (1);2.42;6.43;6.97;2.69;7.43;12.39
sem rendimento a menos de 1/4 do salário mínimo (2);12.65;32.06;37.61;13.63;51.06;61.05
1/4 a menos de 1/2 salário mínimo ;7.85;19.45;27.49;9.29;28.72;35.32
1/2 a menos de 1 salário mínimo ;4.58;12.14;16.01;5.39;12.82;25.37
1 a menos de 2 salários mínimos ;4.01;12.0;10.89;4.57;12.27;21.98
2 salários mínimos ou mais ;4.39;10.77;11.14;4.9;14.84;20.95
sul (1);3.53;8.66;7.78;4.18;13.51;17.28
sem rendimento a menos de 1/4 do salário mínimo (2);17.5;44.5;52.16;21.18;99.86;99.91
1/4 a menos de 1/2 salário mínimo ;12.67;27.69;41.04;14.66;60.05;100.02
1/2 a menos de 1 salário mínimo ;6.91;15.66;16.61;8.16;30.68;30.47
1 a menos de 2 salários mínimos ;5.37;14.11;13.89;6.36;20.06;26.23
2 salários mínimos ou mais ;6.33;14.67;14.92;7.11;24.93;27.38
centro-oeste (1);3.97;9.41;10.58;4.64;14.29;15.52
sem rendimento a menos de 1/4 do salário mínimo (2);14.65;37.77;;14.9;70.65;60.21
1/4 a menos de 1/2 salário mínimo ;10.28;24.27;30.25;12.18;39.02;45.2
1/2 a menos de 1 salário mínimo ;7.17;15.86;20.98;8.37;26.45;33.83
1 a menos de 2 salários mínimos ;6.3;15.37;17.96;7.23;26.29;28.29
2 salários mínimos ou mais ;7.33;17.64;17.02;9.02;27.3;30.39
