;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último roubo que foram vítimas, no período de referência de 365 dias (%)
total (1)(2);0;4.21;2.64;1.95;2.84;4.62
homens;0;5.11;3.39;2.6;3.8;6.08
mulheres;0;5.98;3.72;2.6;4.06;6.4
branca;0;5.73;3.94;2.94;4.78;6.92
preta ou parda;0;5.71;3.37;2.48;3.47;5.79
preta;0;11.59;8.25;6.02;8.47;12.73
parda;0;6.27;3.61;2.62;3.7;6.46
10 a 24 anos;0;6.51;3.75;2.97;4.39;6.74
25 a 34 anos;0;8.62;5.04;3.52;5.73;9.39
35 a 39 anos;0;12.91;8.88;5.76;9.96;14.27
40 a 49 anos;0;10.04;6.93;4.52;7.65;13.07
50 anos ou mais;0;8.45;6.83;4.64;6.67;10.23
sem instrução;0;13.75;13.33;8.57;9.85;16.73
fundamental incompleto ou equivalente;0;6.34;4.67;3.59;4.88;8.19
fundamental completo ou equivalente;0;11.74;7.65;5.23;7.77;13.44
médio incompleto ou equivalente;0;11.69;6.4;4.9;7.05;12.08
médio completo ou equivalente;0;8.02;4.42;3.24;5.6;8.34
superior incompleto ou equivalente;0;15.06;8.67;6.63;12.85;16.79
superior completo ou equivalente;0;17.2;9.44;6.87;13.38;13.41
total (3)(4);0;4.23;2.64;1.96;2.85;4.64
sem rendimento a menos de 1/4 do salário mínimo (3) (5);0;11.71;10.46;5.41;8.32;15.46
1/4 a menos de 1/2 salário mínimo (3);0;9.14;6.38;4.61;5.64;10.8
1/2 a menos de 1 salário mínimo (3);0;7.28;4.7;3.73;4.93;9.09
1 a menos de 2 salários mínimos (3) ;0;8.1;4.57;3.78;5.82;8.41
2 salários mínimos ou mais (3) ;0;8.88;5.91;4.26;8.46;9.33
