;total;sem instrução;fundamental incompleto ou equivalente;fundamental completo ou equivalente;médio incompleto ou equivalente;médio completo ou equivalente;superior incompleto ou equivalente;superior completo ou equivalente
               brasil;1.43;4.72;2.28;3.19;3.18;1.92;3.61;3.46
urbana;1.38;5.08;2.27;3.2;3.2;1.94;3.66;3.47
rural;9.21;14.25;10.58;15.99;17.11;15.72;23.32;30.82
norte;3.76;12.13;5.76;7.15;7.04;4.24;8.93;9.46
rondônia;10.57;32.98;15.45;24.64;22.89;18.93;24.74;31.48
acre;12.37;27.53;18.81;31.84;28.77;15.03;39.13;28.14
amazonas;8.9;35.55;12.38;17.8;20.68;11.31;23.24;34.01
roraima;16.31;58.51;30.34;28.22;35.98;18.47;95.63;66.23
pará;4.97;17.26;7.6;9.45;8.97;5.26;12.48;11.9
amapá;19.02;56.35;32.74;27.1;25.64;21.38;30.97;39.32
tocantins;14.61;23.1;21.28;39.56;46.48;18.4;27.71;31.18
nordeste;2.72;6.58;3.91;6.0;5.07;3.0;5.58;5.74
maranhão;16.35;22.47;19.9;33.8;29.59;10.65;34.4;47.95
piauí;10.84;65.92;16.72;34.91;30.15;17.16;26.14;22.42
ceará;3.75;13.32;6.82;9.22;7.62;5.45;10.83;9.52
rio grande do norte;7.82;19.49;15.75;18.98;18.68;12.35;19.54;22.27
paraíba;11.81;24.04;11.9;23.66;19.03;12.75;26.85;23.89
pernambuco;5.04;15.16;7.44;10.3;9.56;6.75;10.81;11.9
alagoas;9.17;23.33;14.25;26.62;23.52;17.94;32.51;27.6
sergipe;7.34;27.81;10.15;24.76;18.59;11.25;24.21;32.08
bahia;4.46;12.59;7.39;9.87;8.01;5.26;9.28;9.68
sudeste;2.41;10.5;4.41;5.57;6.55;3.49;5.99;5.39
minas gerais;4.33;21.82;8.01;10.95;11.95;6.91;9.85;11.45
espírito santo;8.56;30.52;14.5;20.52;19.44;13.1;27.22;29.13
rio de janeiro;4.76;22.8;8.52;10.45;12.08;6.59;10.38;8.98
são paulo;3.55;15.1;6.83;8.33;9.9;4.99;9.43;7.77
sul;3.52;16.46;6.22;8.29;9.06;5.49;9.16;9.12
paraná;5.39;23.47;9.04;11.78;13.74;8.99;15.79;12.62
santa catarina;14.73;39.7;26.91;33.13;35.72;20.48;45.94;33.19
rio grande do sul;4.3;27.13;7.93;10.98;12.5;6.77;10.41;12.0
centro-oeste;3.94;13.79;5.7;8.79;8.55;6.43;11.33;9.19
mato grosso do sul;13.19;33.13;20.7;25.06;31.45;17.69;37.26;24.45
mato grosso;9.47;27.64;16.02;22.81;21.94;15.65;29.14;20.68
goiás;6.42;18.93;8.52;14.19;14.38;11.63;17.69;14.47
distrito federal;6.26;60.68;8.5;14.19;11.25;9.1;16.88;16.92
