;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.0;0.59;0.72;1.0;0.97;2.81;1.06
urbana;0.0;0.62;0.72;1.03;1.03;2.92;1.13
rural;0.0;1.69;3.64;4.56;2.92;10.77;3.35
norte;0.0;1.48;1.74;3.61;1.24;6.94;1.45
rondônia;0.0;3.9;4.8;6.79;3.62;15.38;4.27
acre;0.0;4.39;5.64;6.24;2.75;25.32;3.85
amazonas;0.0;3.52;3.84;9.42;2.77;25.41;2.89
roraima;0.0;6.1;6.07;16.38;6.04;25.19;7.31
pará;0.0;2.21;2.58;5.73;1.84;9.94;2.18
amapá;0.0;6.39;7.68;13.53;4.54;20.87;5.3
tocantins;0.0;4.16;5.67;10.68;3.71;18.53;3.07
nordeste;0.0;1.01;1.2;2.38;1.06;4.55;1.27
maranhão;0.0;3.36;3.87;12.07;3.34;20.29;4.87
piauí;0.0;4.3;4.98;9.92;3.87;24.13;3.78
ceará;0.0;2.01;2.5;4.29;1.96;17.3;2.31
rio grande do norte;0.0;3.56;4.39;6.52;4.63;17.41;4.77
paraíba;0.0;5.19;5.63;5.98;4.81;20.44;5.27
pernambuco;0.0;2.46;2.89;3.5;2.26;10.21;2.56
alagoas;0.0;5.52;6.91;10.5;5.72;26.31;5.93
sergipe;0.0;3.03;4.84;10.13;4.74;20.44;4.94
bahia;0.0;1.9;2.11;5.27;1.55;4.49;2.03
sudeste;0.0;1.14;1.31;1.35;1.98;5.06;2.19
minas gerais;0.0;2.02;2.36;3.03;2.35;8.13;2.72
espírito santo;0.0;4.21;4.76;6.4;5.12;12.63;6.22
rio de janeiro;0.0;2.32;2.51;2.76;4.25;9.67;4.9
são paulo;0.0;1.71;2.01;1.76;3.59;9.05;3.9
sul;0.0;1.28;1.85;1.13;4.22;8.78;4.69
paraná;0.0;2.11;2.96;1.86;5.68;15.98;6.28
santa catarina;0.0;2.87;4.94;2.59;11.46;22.23;12.58
rio grande do sul;0.0;1.92;2.65;1.66;7.22;11.83;8.08
centro-oeste;0.0;1.69;2.03;2.48;1.8;6.87;2.02
mato grosso do sul;0.0;3.87;4.64;5.44;5.77;20.76;6.64
mato grosso;0.0;4.33;5.08;6.69;4.66;14.62;5.52
goiás;0.0;2.65;3.26;3.66;2.34;10.81;2.49
distrito federal;0.0;3.03;3.47;4.74;3.36;11.33;3.93
