;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;1.23;1.29;1.51;1.55;1.59;3.09;1.64
urbana;1.33;1.43;1.56;1.64;1.73;3.21;1.8
rural;4.99;4.97;6.69;6.38;6.09;12.65;6.14
norte;3.18;3.42;3.73;4.78;3.42;7.2;3.59
rondônia;7.86;8.03;10.01;11.26;7.99;16.19;8.52
acre;7.22;7.26;10.39;10.69;7.01;25.12;7.77
amazonas;9.12;9.46;10.23;14.65;8.85;24.9;9.11
roraima;8.73;10.14;11.11;21.33;8.48;25.87;9.42
pará;4.49;4.93;5.26;7.13;4.9;9.92;5.22
amapá;15.82;16.12;18.62;18.81;17.27;30.48;16.6
tocantins;11.62;12.74;12.4;14.7;12.67;26.09;10.99
nordeste;2.82;2.87;3.21;3.39;3.17;5.47;3.23
maranhão;15.86;15.02;17.59;18.6;16.67;27.06;16.74
piauí;10.47;10.42;12.53;15.99;10.29;24.56;10.64
ceará;4.31;4.97;4.7;6.44;4.54;19.51;4.29
rio grande do norte;6.11;7.07;7.52;9.0;7.61;18.06;7.81
paraíba;10.01;12.44;10.1;12.76;9.84;18.84;11.07
pernambuco;4.3;5.44;4.57;5.72;4.71;10.65;4.97
alagoas;7.74;9.64;10.21;14.52;8.38;26.68;8.66
sergipe;6.61;7.27;8.18;12.58;7.78;20.83;8.01
bahia;4.0;4.1;4.85;7.62;3.76;4.84;4.42
sudeste;1.96;2.11;2.53;2.55;2.54;5.35;2.68
minas gerais;3.82;4.24;4.58;5.35;4.03;8.95;4.18
espírito santo;6.68;8.18;7.88;10.03;7.33;15.36;7.39
rio de janeiro;4.03;4.41;5.0;4.96;5.78;10.32;6.32
são paulo;2.88;3.02;3.85;3.57;4.27;9.41;4.51
sul;2.64;2.79;3.4;3.07;4.52;8.77;5.03
paraná;3.86;4.04;5.28;4.46;6.42;15.78;7.13
santa catarina;7.71;7.9;9.63;8.75;12.16;22.96;13.06
rio grande do sul;3.91;4.18;4.93;4.59;7.42;11.79;8.34
centro-oeste;2.47;2.91;3.29;3.52;3.05;7.43;3.14
mato grosso do sul;6.87;7.15;9.05;9.68;8.18;22.27;8.52
mato grosso;5.38;6.9;7.42;8.71;6.98;16.22;7.21
goiás;3.89;4.64;5.15;5.11;4.73;11.58;4.8
distrito federal;4.48;5.13;5.95;6.39;5.75;12.37;6.06
