;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;1.21;1.21;1.24;2.74;1.93
urbana;1.15;1.16;1.18;2.76;1.87
rural;4.3;4.3;4.21;17.15;7.69
norte;3.12;3.22;3.2;6.33;4.04
rondônia;7.46;7.39;7.47;23.3;10.86
acre;7.61;5.82;5.58;40.52;17.92
amazonas;8.94;8.54;8.7;14.29;12.79
roraima;8.98;9.31;9.36;20.94;14.48
pará;4.39;4.77;4.71;8.44;5.08
amapá;15.65;13.18;13.51;21.91;22.21
tocantins;11.69;12.99;13.75;20.07;11.41
nordeste;2.77;2.63;2.75;4.18;4.15
maranhão;15.21;13.42;13.85;17.97;20.6
piauí;10.34;10.8;10.72;22.63;14.76
ceará;4.35;4.34;4.67;8.03;6.06
rio grande do norte;6.13;6.98;7.74;11.84;9.71
paraíba;10.12;8.95;9.21;17.24;16.61
pernambuco;4.39;5.32;5.44;9.63;5.5
alagoas;7.4;7.86;8.35;20.99;12.69
sergipe;6.47;7.82;9.05;14.76;7.6
bahia;4.0;4.19;4.46;7.2;6.37
sudeste;1.95;2.02;2.04;5.3;3.23
minas gerais;3.81;3.96;4.07;9.37;5.72
espírito santo;6.71;6.87;7.21;15.12;11.71
rio de janeiro;4.05;4.14;4.24;11.64;6.59
são paulo;2.85;2.95;2.97;7.69;4.96
sul;2.61;2.78;2.89;8.35;4.45
paraná;3.8;4.19;4.22;12.67;6.28
santa catarina;7.65;7.52;7.58;29.25;13.71
rio grande do sul;3.87;4.17;4.51;11.8;6.62
centro-oeste;2.47;2.49;2.52;6.72;4.55
mato grosso do sul;6.73;6.68;6.55;17.75;11.3
mato grosso;5.29;5.25;5.3;18.37;9.49
goiás;3.94;4.0;4.05;10.63;8.09
