;total(1);sexo;sexo;cor ou raça;cor ou raça;cor ou raça;cor ou raça
;unnamed: 1_level_1;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.0;0.5941122857101769;0.7155360804933385;0.9999858145598879;0.9676474408019339;2.8113412657809573;1.0596939388472009
situação do domicílio;;;;;;;
urbana;0.0;0.6225705325445549;0.721845298947482;1.032265851336339;1.0277050471436098;2.918398379567789;1.1313710082477104
rural;0.0;1.6915482212071509;3.636617853425581;4.5631699060336475;2.9165884943815588;10.772016520807107;3.3523123801148125
grandes regiões e unidades da federação;;;;;;;
norte;0.0;1.4774223241002975;1.7352435420645154;3.6100562571350565;1.2392368322281457;6.9397910030902334;1.447324993315594
rondônia;0.0;3.9012995339573675;4.798984435317284;6.794104491646965;3.6236307364007656;15.379159417704205;4.274308991713532
acre;0.0;4.391897859387482;5.63855569003904;6.238366671550176;2.7450770247158762;25.321926721866145;3.850030028327622
amazonas;0.0;3.517624281354117;3.8429012818492523;9.424703664079962;2.774636926882627;25.407605245806653;2.885076500821473
roraima;0.0;6.0987332071519775;6.0656261516400445;16.377987887454818;6.0396763955444115;25.18655248408374;7.306527501113716
pará;0.0;2.20506865846207;2.5764636649889474;5.734519126784722;1.8419065837191728;9.941048635665274;2.1807976173923747
amapá;0.0;6.39188877229981;7.677257722074849;13.531030881747904;4.543461229361361;20.872350120248075;5.299216423469125
tocantins;0.0;4.160369580314405;5.6706407293326455;10.68321268454236;3.71408565986043;18.52688985522252;3.073205839272818
nordeste;0.0;1.0124440829476486;1.2001381695174684;2.383729508042992;1.0614242444819537;4.548064051976049;1.2710533017740553
maranhão;0.0;3.3624438071158593;3.874420847705514;12.071954905652708;3.3370342014085987;20.2932797779561;4.873165876539606
piauí;0.0;4.296172632962262;4.983560254236222;9.920672110280519;3.8745972619550524;24.126704172985256;3.7831047130748976
ceará;0.0;2.0064415817805146;2.499503933429651;4.286360629148104;1.96153908611669;17.299902645529407;2.31366918877677
rio grande do norte;0.0;3.558658796240557;4.391536386850049;6.51911299313913;4.6292072720010795;17.411557870525947;4.771694983614056
paraíba;0.0;5.189316237821341;5.628213631069913;5.975720975766227;4.807754021328771;20.440007735195064;5.268609700243595
pernambuco;0.0;2.4623385593098703;2.8865686778004087;3.4960046894533043;2.2645227221584143;10.214338507408579;2.5565188157872814
alagoas;0.0;5.516767899715293;6.906488057658841;10.498162025434576;5.71627670494867;26.309313910584695;5.925524244662069
sergipe;0.0;3.0266223994766084;4.842595839162573;10.129915682888889;4.738186367802867;20.438067103730713;4.93529286570755
bahia;0.0;1.9010995164499942;2.10684739114612;5.271434120010128;1.5476761733762425;4.489260826260636;2.027812972638251
sudeste;0.0;1.1384313834620647;1.3122078473578442;1.345036047811297;1.9803809253837579;5.063165984782594;2.1857592271086728
minas gerais;0.0;2.0177523818212832;2.363979433214916;3.028886761009976;2.3538017637742636;8.134816824076728;2.717828024072946
espírito santo;0.0;4.212985739646498;4.761653649926041;6.400242960470673;5.1210773520115795;12.629308133305594;6.222148508439349
rio de janeiro;0.0;2.324126883376654;2.5145981272702915;2.757903381560919;4.249900531203413;9.674902178844892;4.896323888331766
são paulo;0.0;1.7139608171181595;2.007164759066476;1.7562741304317155;3.585042076795437;9.053259200530787;3.8997377827506052
sul;0.0;1.2820455991210196;1.8509767057380546;1.133722319917171;4.219260898982084;8.780618488341833;4.689476394862153
paraná;0.0;2.11451658108435;2.9607090074070674;1.8557042563761423;5.680444339780957;15.978041709225383;6.283719331064095
santa catarina;0.0;2.86902605121477;4.94110042153655;2.5947082855531254;11.463405811177223;22.227777676653673;12.580685588863401
rio grande do sul;0.0;1.9150852429084437;2.6457149747867597;1.6616964186800485;7.220572637745574;11.831738069187793;8.07501365189108
centro-oeste;0.0;1.6947523241642717;2.0292332074159574;2.478268424438712;1.7973752230132654;6.869994071169373;2.0241107386066868
mato grosso do sul;0.0;3.8697100597322445;4.643652071678692;5.435305030536318;5.774862768758549;20.759380444159987;6.640955034401905
mato grosso;0.0;4.334220828371222;5.083345415990939;6.688911376812235;4.659638372163284;14.623258384195791;5.519014700458689
goiás;0.0;2.64715383685003;3.2629847641727805;3.663145989138449;2.3392370505983684;10.807166957724204;2.4922447683496225
distrito federal;0.0;3.02723640907581;3.466788299854968;4.739527875703519;3.3601146247635807;11.331072115874798;3.9276634116024147
