;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;1.21;1.3;1.46;1.47;1.55;2.83;1.63
Situação do domicílio;;;;;;;
Urbana;1.15;1.27;1.39;1.44;1.43;2.77;1.51
Rural;4.3;4.22;6.28;5.68;5.43;11.74;5.58
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;3.12;3.4;3.61;4.32;3.41;6.11;3.57
Rondônia;7.46;7.66;9.61;10.39;7.54;14.89;8.14
Acre;7.61;6.94;11.0;9.88;7.71;21.59;7.99
Amazonas;8.94;9.82;9.59;13.7;8.56;18.68;8.79
Roraima;8.98;10.0;10.85;18.43;8.35;20.16;9.21
Pará;4.39;4.76;5.17;6.11;4.96;8.75;5.24
Amapá;15.65;17.02;17.22;18.89;15.82;21.79;16.75
Tocantins;11.69;13.04;12.21;15.23;13.23;22.3;12.08
Nordeste;2.77;2.93;3.05;2.91;3.11;4.98;3.26
Maranhão;15.21;15.23;16.22;15.94;15.46;21.54;16.23
Piauí;10.34;11.27;11.59;11.76;11.68;26.47;12.04
Ceará;4.35;4.93;4.64;5.83;4.5;15.65;4.28
Rio Grande do Norte;6.13;6.98;7.25;8.15;7.17;18.27;7.79
Paraíba;10.12;13.01;9.94;10.31;11.58;20.78;12.59
Pernambuco;4.39;5.65;4.68;4.72;5.49;10.49;5.61
Alagoas;7.4;9.38;9.76;12.26;7.71;28.23;7.93
Sergipe;6.47;6.72;8.49;9.36;7.07;14.82;7.52
Bahia;4.0;4.29;4.6;6.67;3.94;4.84;4.78
Sudeste;1.95;2.11;2.48;2.44;2.41;4.94;2.55
Minas Gerais;3.81;4.28;4.47;5.44;4.11;8.71;4.24
Espírito Santo;6.71;8.14;7.94;9.82;7.46;13.93;7.58
Rio de Janeiro;4.05;4.4;5.04;5.03;5.4;9.77;5.92
São Paulo;2.85;3.01;3.76;3.33;3.9;8.37;4.14
Sul;2.61;2.88;3.27;2.98;4.22;8.15;4.79
Paraná;3.8;4.22;5.08;4.25;5.71;14.6;6.49
Santa Catarina;7.65;7.82;9.67;8.8;12.96;23.19;13.58
Rio Grande do Sul;3.87;4.42;4.57;4.35;6.93;10.7;8.28
Centro-Oeste;2.47;2.91;3.23;3.34;3.01;6.45;3.16
Mato Grosso do Sul;6.73;7.04;8.64;9.21;7.77;16.49;8.41
Mato Grosso;5.29;6.48;7.47;6.87;6.68;14.23;6.95
Goiás;3.94;4.8;5.09;5.35;4.79;10.31;4.99
Distrito Federal;4.44;5.07;5.76;5.86;5.49;11.47;5.78
