;total(1);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo)
;unnamed: 1_level_1;menosde 1/4;1/4 a menosde 1/2;1/2 a menosde 1;1 a menosde 2;2 ou mais;semrendimento(2)
               brasil;0.0;3.44;2.36;1.46;1.41;1.86;7.46
situação do domicílio;;;;;;;
urbana;0.0;3.89;2.57;1.53;1.44;1.91;7.9
rural;0.0;7.7;5.84;4.67;6.26;8.13;19.43
grandes regiões e unidades da federação;;;;;;;
norte;0.0;8.5;4.13;2.69;3.36;5.37;18.1
rondônia;0.0;25.0;16.05;8.42;8.15;14.39;50.38
acre;0.0;24.43;13.49;10.9;14.17;17.59;39.45
amazonas;0.0;19.19;10.98;7.19;8.97;14.12;39.73
roraima;0.0;26.99;17.05;15.76;17.93;26.0;93.71
pará;0.0;11.58;5.55;3.66;4.84;8.55;25.36
amapá;0.0;39.81;17.08;10.1;16.23;20.17;99.03
tocantins;0.0;32.37;15.72;9.79;9.31;11.92;109.74
nordeste;0.0;4.0;3.38;2.35;3.14;4.42;12.71
maranhão;0.0;13.75;12.25;8.14;13.51;15.84;43.73
piauí;0.0;20.82;17.72;13.96;11.26;21.3;49.04
ceará;0.0;7.08;4.81;4.38;6.29;8.81;30.6
rio grande do norte;0.0;19.25;12.67;8.09;11.62;16.26;59.02
paraíba;0.0;16.89;15.76;11.03;11.43;21.6;61.57
pernambuco;0.0;7.62;6.4;4.81;7.23;9.92;26.12
alagoas;0.0;17.37;15.09;14.28;15.22;22.73;56.52
sergipe;0.0;20.09;10.35;8.64;10.93;18.77;68.19
bahia;0.0;7.82;6.16;4.27;4.75;6.94;19.76
sudeste;0.0;9.01;5.53;2.97;2.41;2.7;16.32
minas gerais;0.0;11.79;8.86;4.47;3.94;4.83;33.18
espírito santo;0.0;26.5;12.59;10.11;8.09;12.19;56.47
rio de janeiro;0.0;22.34;11.75;6.91;5.5;5.55;31.3
são paulo;0.0;17.06;9.56;4.68;3.61;3.84;24.03
sul;0.0;13.89;7.13;4.38;2.92;3.51;17.17
paraná;0.0;22.56;12.39;6.86;5.03;5.52;24.6
santa catarina;0.0;40.21;23.29;10.91;5.39;8.74;95.82
rio grande do sul;0.0;18.47;8.65;6.62;4.43;5.18;22.79
centro-oeste;0.0;12.67;6.56;3.68;3.07;4.72;19.43
mato grosso do sul;0.0;25.53;13.34;8.11;7.34;14.24;60.79
mato grosso;0.0;25.37;18.21;8.82;6.27;9.61;52.19
goiás;0.0;22.57;9.75;5.56;4.59;8.36;27.78
distrito federal;0.0;22.27;14.19;8.45;7.92;7.37;33.85
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;;
