;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;unnamed: 1_level_1;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;1.21;3.42;1.83;2.34;2.51;1.46;2.71;2.46
situação do domicílio;;;;;;;;
urbana;1.15;3.5;1.8;2.34;2.53;1.46;2.73;2.46
rural;4.3;7.51;4.94;10.64;11.51;8.99;18.18;18.8
grandes regiões e unidades da federação;;;;;;;;
norte;3.12;8.18;4.45;5.37;5.25;3.46;6.39;6.28
rondônia;7.46;22.2;10.84;16.67;16.63;11.14;15.58;17.3
acre;7.61;13.17;16.78;13.72;18.49;10.71;16.93;14.62
amazonas;8.94;24.03;11.09;14.74;16.83;9.62;21.02;19.26
roraima;8.98;34.52;16.19;18.23;19.67;12.09;30.45;29.42
pará;4.39;12.79;6.36;7.72;6.75;4.73;10.15;9.57
amapá;15.65;30.55;26.05;18.86;21.81;15.48;20.84;31.08
tocantins;11.69;20.96;10.28;18.59;25.65;12.31;17.84;16.99
nordeste;2.77;5.78;4.01;4.84;4.7;2.45;4.78;4.24
maranhão;15.21;24.43;20.73;24.17;25.22;7.15;27.72;28.0
piauí;10.34;17.48;14.18;18.61;20.27;12.62;22.97;16.26
ceará;4.35;10.96;6.0;7.03;5.96;4.79;8.63;6.72
rio grande do norte;6.13;16.21;10.4;14.91;14.78;10.24;15.58;15.95
paraíba;10.12;19.37;10.09;21.67;18.12;11.65;20.1;15.89
pernambuco;4.39;11.96;6.61;9.74;9.89;6.0;9.31;8.61
alagoas;7.4;18.35;9.96;19.19;19.78;14.83;27.17;20.81
sergipe;6.47;16.46;10.15;12.77;17.22;11.3;22.21;19.3
bahia;4.0;10.4;5.39;7.98;6.84;4.32;8.01;7.5
sudeste;1.95;6.42;3.13;4.1;4.86;2.64;4.65;4.05
minas gerais;3.81;8.85;5.68;7.42;7.73;4.81;8.34;8.0
espírito santo;6.71;21.8;9.63;14.23;16.23;9.65;18.68;16.62
rio de janeiro;4.05;13.31;6.47;8.6;9.78;5.52;8.81;7.73
são paulo;2.85;11.25;4.86;6.15;7.58;3.83;7.05;5.77
sul;2.61;9.42;4.11;5.27;6.77;3.65;6.06;5.47
paraná;3.8;15.89;6.02;8.35;10.55;6.1;10.33;8.03
santa catarina;7.65;17.41;11.37;11.64;18.69;9.05;18.86;12.38
rio grande do sul;3.87;14.26;6.07;8.11;9.96;5.15;7.18;9.35
centro-oeste;2.47;7.88;3.67;5.67;5.3;3.89;6.94;5.5
mato grosso do sul;6.73;16.63;9.79;13.04;13.31;10.32;17.7;15.67
mato grosso;5.29;19.32;7.75;12.88;12.2;9.19;15.64;12.09
goiás;3.94;10.23;5.59;9.2;8.62;6.32;11.99;9.01
distrito federal;4.44;33.87;6.97;11.06;9.2;6.58;11.13;9.1
