;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;1.23;1.24;1.24;3.07;1.96
Situação do domicílio;;;;;
Urbana;1.33;1.36;1.37;3.11;2.02
Rural;4.99;4.94;4.79;19.83;8.34
Grandes Regiões e Unidades da Federação;;;;;
Norte;3.18;3.28;3.22;7.47;4.16
Rondônia;7.86;8.03;8.02;26.13;10.96
Acre;7.22;6.19;5.5;40.45;16.0
Amazonas;9.12;9.14;9.21;15.5;12.4
Roraima;8.73;9.82;9.66;25.98;13.49
Pará;4.49;4.66;4.49;10.91;5.66
Amapá;15.82;16.11;16.63;25.55;19.8
Tocantins;11.62;12.91;13.57;18.55;11.19
Nordeste;2.82;2.71;2.75;4.95;4.19
Maranhão;15.86;14.88;14.68;24.04;20.67
Piauí;10.47;10.08;9.86;24.11;15.62
Ceará;4.31;4.62;4.97;7.86;5.96
Rio Grande do Norte;6.11;7.02;7.22;14.36;10.48
Paraíba;10.01;9.05;9.31;20.18;16.48
Pernambuco;4.3;4.71;4.69;11.86;5.88
Alagoas;7.74;8.34;8.7;22.36;11.9
Sergipe;6.61;7.7;8.93;15.58;7.43
Bahia;4.0;4.02;4.07;8.04;6.53
Sudeste;1.96;2.05;2.04;5.81;3.28
Minas Gerais;3.82;3.99;4.03;10.68;5.79
Espírito Santo;6.68;7.05;7.28;17.23;11.58
Rio de Janeiro;4.03;4.25;4.34;12.33;6.56
São Paulo;2.88;2.99;2.96;8.41;5.08
Sul;2.64;2.79;2.85;8.89;4.55
Paraná;3.86;4.13;4.08;14.33;6.54
Santa Catarina;7.71;7.42;7.17;32.48;14.09
Rio Grande do Sul;3.91;4.32;4.67;11.54;6.61
Centro-Oeste;2.47;2.6;2.62;7.22;4.59
Mato Grosso do Sul;6.87;7.03;6.71;19.84;11.36
Mato Grosso;5.38;5.51;5.66;18.06;9.55
Goiás;3.89;4.14;4.19;11.79;8.19
