;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;1.2377450125357592;1.4211684199647858;3.503625440519724;1.9650969505364078;3.392260101639674;5.082028232654
Situação do domicílio;;;;;;
Urbana;1.37;1.51;3.69;2.16;3.5;5.74
Rural;4.79;7.52;14.51;5.99;13.57;9.34
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.22;3.87;7.57;4.96;8.68;10.16
Rondônia;8.02;8.53;21.56;12.66;20.88;27.39
Acre;5.5;6.84;19.61;11.15;31.01;25.61
Amazonas;9.21;11.71;21.15;11.17;30.31;31.92
Roraima;9.66;13.0;25.48;16.8;60.12;71.53
Pará;4.49;5.39;10.53;7.21;12.56;14.76
Amapá;16.63;17.6;32.03;22.52;31.08;55.16
Tocantins;13.57;18.03;24.27;17.68;22.18;19.21
Nordeste;2.75;3.12;6.61;3.41;6.82;8.78
Maranhão;14.68;18.39;26.24;11.63;24.22;27.74
Piauí;9.86;12.44;31.14;14.18;26.71;16.35
Ceará;4.97;5.72;11.01;7.01;15.58;17.76
Rio Grande do Norte;7.22;7.58;25.32;17.44;23.27;20.91
Paraíba;9.31;11.05;18.17;13.08;28.94;28.45
Pernambuco;4.69;5.62;13.48;8.2;16.24;22.19
Alagoas;8.7;11.21;32.85;18.11;24.63;20.86
Sergipe;8.93;8.13;35.42;17.94;26.86;49.37
Bahia;4.07;4.91;10.76;5.49;12.97;15.73
Sudeste;2.04;2.3;7.01;3.86;5.79;10.91
Minas Gerais;4.03;4.68;12.16;6.03;9.09;14.82
Espírito Santo;7.28;8.04;28.39;12.33;23.3;27.09
Rio de Janeiro;4.34;5.01;13.32;7.68;13.62;37.53
São Paulo;2.96;3.24;11.31;6.29;8.93;18.96
Sul;2.85;3.52;8.1;4.66;7.76;12.03
Paraná;4.08;5.16;12.86;7.45;11.88;23.85
Santa Catarina;7.17;9.59;24.42;10.71;19.9;22.79
Rio Grande do Sul;4.67;5.34;11.29;7.17;11.78;16.73
Centro-Oeste;2.62;3.18;7.7;5.05;8.29;12.48
Mato Grosso do Sul;6.71;8.74;16.79;11.71;14.65;24.77
Mato Grosso;5.66;6.17;19.61;11.05;20.19;19.07
Goiás;4.19;5.19;11.65;7.54;14.41;23.21
