;unnamed: 1_level_0;agrícola;indústria;construção;comércio e reparação;serviços
;0.0;4.014499948009117;2.286968843244025;3.028943288068898;1.593074598072223;0.9311949137265927
Situação do domicílio;;;;;;
urbana;0.0;5.63;2.27;3.1;1.58;0.92
rural;0.0;4.65;15.33;12.26;10.99;6.83
grandes regiões e unidades da federação;;;;;;
norte;0.0;12.72;6.06;6.41;3.31;2.05
rondônia;0.0;20.32;21.59;14.87;9.66;6.7
acre;0.0;13.4;24.93;17.19;12.0;5.51
amazonas;0.0;28.46;12.11;13.15;9.15;6.14
roraima;0.0;45.81;27.35;25.95;14.57;9.19
pará;0.0;19.77;8.25;10.63;4.38;2.83
amapá;0.0;49.13;39.83;26.19;14.59;6.73
tocantins;0.0;17.27;20.93;22.5;15.17;7.17
nordeste;0.0;6.8;5.09;5.46;2.88;1.74
maranhão;0.0;23.9;26.13;15.96;8.06;7.26
piauí;0.0;17.71;24.84;22.71;13.4;5.97
ceará;0.0;13.68;6.62;9.36;6.21;2.77
rio grande do norte;0.0;16.47;18.63;21.36;9.92;5.87
paraíba;0.0;22.14;21.88;26.57;13.77;8.12
pernambuco;0.0;15.86;10.97;14.14;6.63;3.78
alagoas;0.0;16.53;28.11;29.08;16.41;8.27
sergipe;0.0;37.14;21.73;21.13;12.4;8.05
bahia;0.0;11.07;9.01;8.91;5.46;2.86
sudeste;0.0;8.53;3.8;6.0;3.04;1.61
minas gerais;0.0;9.64;6.46;9.07;5.08;3.19
espírito santo;0.0;15.1;14.27;18.92;9.57;6.47
rio de janeiro;0.0;50.52;10.23;14.66;8.68;2.73
são paulo;0.0;17.97;5.26;9.89;4.26;2.42
sul;0.0;8.59;4.73;8.12;3.81;2.43
paraná;0.0;13.32;7.6;12.19;5.75;3.58
santa catarina;0.0;20.03;11.09;21.7;10.23;7.19
rio grande do sul;0.0;12.71;7.22;11.98;5.66;3.57
centro-oeste;0.0;10.81;6.22;7.22;4.35;2.31
mato grosso do sul;0.0;18.34;14.29;18.15;9.86;5.84
mato grosso;0.0;13.74;11.79;21.2;11.41;5.14
goiás;0.0;18.57;8.94;9.52;6.61;4.13
distrito federal;0.0;44.71;16.33;16.24;7.93;3.19
