;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;1.2390556339405605;3.819986943778351;2.5345395915735147;2.996951538308607;1.8857146513817993;1.361949697130653
Situação do domicílio;;;;;;
Urbana;1.18;5.09;2.58;3.1;1.89;1.38
Rural;4.18;4.8;15.19;11.58;10.75;7.64
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.21;9.58;6.79;6.48;4.16;3.45
Rondônia;7.47;20.32;17.66;17.75;9.88;8.81
Acre;5.58;14.63;20.66;21.23;11.78;6.12
Amazonas;8.74;26.71;16.01;15.47;11.78;9.96
Roraima;9.36;41.84;22.34;25.86;16.1;13.78
Pará;4.74;13.13;9.3;9.66;5.98;5.08
Amapá;13.51;67.2;36.63;27.71;14.88;15.48
Tocantins;13.75;22.82;24.57;22.24;13.84;15.89
Nordeste;2.76;6.69;5.08;5.57;3.52;2.37
Maranhão;13.86;25.94;20.29;18.42;13.25;9.96
Piauí;10.71;12.03;25.96;21.35;13.21;9.46
Ceará;4.67;12.81;7.2;10.29;7.65;4.53
Rio Grande do Norte;7.74;18.52;17.21;18.33;9.61;7.77
Paraíba;9.22;20.17;20.27;24.44;14.51;11.24
Pernambuco;5.46;14.63;11.29;13.29;7.3;5.27
Alagoas;8.34;14.85;31.45;24.27;18.63;10.62
Sergipe;9.03;27.5;17.05;19.33;13.35;10.4
Bahia;4.45;10.54;9.47;8.88;5.93;4.34
Sudeste;2.04;7.64;4.3;5.91;3.57;2.43
Minas Gerais;4.07;10.32;9.06;9.01;6.33;4.38
Espírito Santo;7.21;18.55;14.65;17.61;10.63;10.28
Rio de Janeiro;4.25;46.09;10.68;14.57;9.49;4.83
São Paulo;2.97;12.79;5.72;9.73;5.05;3.65
Sul;2.88;8.81;5.15;7.3;4.3;3.39
Paraná;4.22;11.95;8.24;11.3;6.9;5.54
Santa Catarina;7.59;18.89;10.78;18.73;10.74;9.08
Rio Grande do Sul;4.47;13.89;8.26;10.81;6.33;4.72
Centro-Oeste;2.52;9.6;6.52;7.12;4.5;3.28
Mato Grosso do Sul;6.55;17.28;16.22;17.81;11.38;8.23
Mato Grosso;5.3;17.23;12.16;19.5;10.11;7.08
Goiás;4.04;14.28;9.3;9.61;7.23;5.69
Distrito Federal;4.64;37.83;16.11;15.73;8.31;5.5
