;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;0.71;0.7;1.17;1.01;1.59;1.46
urbana;0.72;0.75;1.27;1.02;1.71;1.94
rural;1.43;1.86;2.72;1.74;3.9;1.64
norte;3.16;3.55;4.39;3.54;6.46;4.04
rondônia;3.33;3.26;7.09;4.17;8.17;5.03
acre;11.23;11.37;13.28;13.95;25.85;14.65
amazonas;3.92;4.11;6.73;5.26;12.93;5.46
roraima;4.2;5.67;8.38;4.12;15.04;6.26
pará;8.53;10.09;12.35;7.87;13.42;10.2
amapá;8.65;10.38;9.64;7.98;19.31;10.62
tocantins;3.35;3.11;8.36;4.72;7.65;3.22
nordeste;1.74;1.61;2.34;2.29;3.98;2.71
maranhão;8.1;5.33;9.96;11.78;13.45;9.88
piauí;6.0;7.82;10.34;5.93;12.91;5.14
ceará;4.07;3.9;4.71;5.35;9.0;7.96
rio grande do norte;9.93;10.32;11.1;11.89;14.86;13.13
paraíba;5.54;5.38;5.79;5.94;17.13;8.76
pernambuco;3.4;3.23;4.49;3.66;10.2;4.35
alagoas;9.56;7.56;14.84;14.19;21.14;13.82
sergipe;6.46;5.86;15.08;7.68;14.2;17.19
bahia;2.78;2.82;4.06;3.95;7.38;4.36
sudeste;1.01;1.05;1.94;1.43;2.59;2.37
minas gerais;1.91;2.07;3.04;2.04;3.83;2.67
espírito santo;4.6;4.39;8.2;6.41;10.51;7.19
rio de janeiro;2.47;2.66;4.19;3.27;6.54;8.38
são paulo;1.39;1.43;3.11;2.35;4.14;4.46
sul;1.47;1.52;2.19;1.93;3.2;2.3
paraná;2.42;2.54;3.86;3.18;6.95;4.17
santa catarina;3.73;3.69;6.09;5.23;5.23;3.95
rio grande do sul;1.71;1.88;2.74;2.32;4.2;3.29
centro-oeste;1.5;1.54;3.06;2.1;2.97;3.65
mato grosso do sul;3.1;2.97;5.19;4.16;6.31;8.38
mato grosso;3.5;3.3;6.87;5.25;6.1;6.03
goiás;2.29;2.54;5.01;2.81;4.8;5.65
