;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.69;0.68;0.73;0.74;0.91;1.35;0.96
urbana;0.7;0.7;0.74;0.78;0.91;1.4;0.96
rural;1.49;1.43;1.61;1.48;1.81;3.29;1.82
norte;3.4;3.37;3.48;3.33;3.54;5.34;3.56
rondônia;2.8;2.87;2.96;3.12;3.08;5.16;3.29
acre;11.46;11.0;12.05;15.02;10.63;21.78;10.35
amazonas;4.28;4.11;4.56;4.97;4.7;13.03;4.66
roraima;4.38;4.6;4.57;6.69;4.12;5.8;4.24
pará;8.56;8.42;8.8;8.81;8.53;11.51;8.53
amapá;8.76;8.44;9.56;11.71;7.78;13.78;7.61
tocantins;3.13;2.5;3.93;3.49;3.48;6.01;3.35
nordeste;1.67;1.59;1.78;1.9;1.82;2.96;1.86
maranhão;8.0;7.46;8.63;8.04;8.8;8.15;9.29
piauí;5.66;5.05;6.27;7.37;5.71;14.69;5.41
ceará;4.07;3.78;4.45;3.79;4.52;8.77;4.45
rio grande do norte;9.05;8.93;9.31;9.09;9.26;11.49;9.48
paraíba;5.58;5.3;5.9;7.14;5.31;6.92;5.52
pernambuco;2.76;3.0;2.65;3.11;2.95;6.48;2.99
alagoas;8.57;7.86;9.28;12.32;8.37;11.54;8.8
sergipe;5.55;6.4;5.15;7.1;5.45;11.5;5.65
bahia;2.72;2.58;2.95;3.6;3.03;4.38;2.99
sudeste;0.94;0.95;1.01;1.1;1.16;1.91;1.21
minas gerais;1.87;1.85;1.98;2.25;2.02;3.06;2.06
espírito santo;3.82;3.71;4.34;4.59;4.28;7.56;4.6
rio de janeiro;2.27;2.35;2.36;2.89;2.7;3.93;2.85
são paulo;1.3;1.3;1.42;1.45;1.78;3.26;1.92
sul;1.37;1.35;1.45;1.49;1.78;2.78;1.96
paraná;2.2;2.17;2.39;2.3;2.98;4.6;3.19
santa catarina;3.68;3.45;3.97;3.91;3.56;5.9;3.95
rio grande do sul;1.64;1.72;1.64;1.68;2.59;4.15;2.79
centro-oeste;1.41;1.46;1.54;1.6;1.72;3.06;1.76
mato grosso do sul;3.21;3.31;3.31;3.17;3.73;5.83;3.75
mato grosso;2.78;3.23;2.65;4.09;3.62;5.95;3.61
goiás;2.21;2.16;2.57;2.53;2.58;4.66;2.69
distrito federal;3.73;3.68;4.01;3.61;4.33;8.14;4.29
