;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.27;0.31;1.57;0.44
urbana;0.0;0.26;0.29;1.48;0.41
rural;0.0;0.8;0.86;6.02;1.55
norte;0.0;1.1;1.21;4.12;1.69
rondônia;0.0;2.73;2.91;10.4;5.41
acre;0.0;2.08;2.55;16.2;3.6
amazonas;0.0;2.37;2.02;10.18;3.27
roraima;0.0;2.28;2.3;10.28;3.46
pará;0.0;2.1;2.58;6.58;3.02
amapá;0.0;5.93;5.75;12.96;7.13
tocantins;0.0;1.17;1.44;8.77;2.42
nordeste;0.0;0.66;0.73;3.25;0.95
maranhão;0.0;2.92;2.87;19.33;3.64
piauí;0.0;2.0;2.19;12.64;3.57
ceará;0.0;1.12;1.27;7.02;1.83
rio grande do norte;0.0;2.52;3.01;14.89;3.7
paraíba;0.0;2.15;1.94;14.4;2.33
pernambuco;0.0;1.7;2.3;5.84;2.13
alagoas;0.0;2.57;2.69;10.71;2.75
sergipe;0.0;2.22;2.51;9.48;3.4
bahia;0.0;1.24;1.42;5.52;2.1
sudeste;0.0;0.35;0.42;2.41;0.58
minas gerais;0.0;0.57;0.71;4.86;1.05
espírito santo;0.0;1.57;2.1;11.08;2.98
rio de janeiro;0.0;0.79;0.85;4.02;1.06
são paulo;0.0;0.52;0.64;3.55;0.88
sul;0.0;0.61;0.75;4.09;1.17
paraná;0.0;0.97;1.09;5.87;1.73
santa catarina;0.0;1.44;1.96;11.49;3.07
rio grande do sul;0.0;0.88;0.99;5.61;1.69
centro-oeste;0.0;0.85;0.9;3.79;1.6
mato grosso do sul;0.0;1.56;1.59;7.73;2.92
mato grosso;0.0;2.38;2.29;10.57;4.47
goiás;0.0;1.32;1.47;6.27;2.51
