;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.69;0.7;0.71;1.2;0.77
urbana;0.7;0.71;0.72;1.26;0.79
rural;1.49;1.47;1.43;4.51;1.7
norte;3.4;3.19;3.16;4.75;3.97
rondônia;2.8;3.15;3.33;6.33;2.99
acre;11.46;11.2;11.23;13.32;12.57
amazonas;4.28;3.98;3.92;9.2;5.18
roraima;4.38;4.45;4.2;10.69;4.8
pará;8.56;8.53;8.53;10.15;9.1
amapá;8.76;8.27;8.65;10.04;9.5
tocantins;3.13;3.43;3.35;7.33;2.87
nordeste;1.67;1.7;1.74;2.24;1.8
maranhão;8.0;7.89;8.1;8.45;8.62
piauí;5.66;6.02;6.0;11.7;5.43
ceará;4.07;3.97;4.07;5.27;4.71
rio grande do norte;9.05;9.71;9.93;9.09;8.5
paraíba;5.58;5.3;5.54;7.66;5.96
pernambuco;2.76;3.43;3.4;4.58;2.46
alagoas;8.57;9.03;9.56;9.03;8.42
sergipe;5.55;6.62;6.46;12.07;4.48
bahia;2.72;2.69;2.78;4.03;3.02
sudeste;0.94;0.99;1.01;1.95;1.03
minas gerais;1.87;1.94;1.91;3.89;1.95
espírito santo;3.82;4.37;4.6;8.95;3.62
rio de janeiro;2.27;2.45;2.47;4.11;2.37
são paulo;1.3;1.35;1.39;2.74;1.49
sul;1.37;1.45;1.47;2.39;1.41
paraná;2.2;2.34;2.42;4.01;2.32
santa catarina;3.68;3.78;3.73;6.35;3.64
rio grande do sul;1.64;1.65;1.71;3.45;1.93
centro-oeste;1.41;1.49;1.5;2.99;1.65
mato grosso do sul;3.21;3.07;3.1;5.75;3.84
mato grosso;2.78;3.37;3.5;6.95;2.59
goiás;2.21;2.3;2.29;4.83;2.68
