;total;agrícola;indústria;construção;comércio e reparação;serviços
               brasil;0.0;2.58;1.55;1.53;1.16;0.77
urbana;0.0;3.46;1.5;1.51;0.95;0.55
rural;0.0;1.42;6.59;5.49;5.23;3.19
norte;0.0;6.0;5.16;4.11;2.89;2.33
rondônia;0.0;8.21;13.97;8.54;5.55;6.15
acre;0.0;12.07;17.0;14.73;11.48;4.99
amazonas;0.0;5.53;5.28;6.53;5.63;2.56
roraima;0.0;8.05;18.19;17.17;7.59;5.11
pará;0.0;13.88;9.63;8.81;5.37;5.4
amapá;0.0;40.11;13.58;13.89;13.58;4.3
tocantins;0.0;12.37;10.59;9.12;8.59;6.09
nordeste;0.0;3.67;3.96;3.13;2.99;2.04
maranhão;0.0;15.89;23.55;11.25;15.98;9.67
piauí;0.0;10.61;10.66;12.95;12.28;10.75
ceará;0.0;8.37;6.31;6.92;5.42;4.12
rio grande do norte;0.0;12.49;9.48;11.15;12.69;3.96
paraíba;0.0;12.16;10.4;10.86;7.2;6.85
pernambuco;0.0;10.38;11.17;8.57;6.8;3.85
alagoas;0.0;7.48;19.79;11.78;10.32;6.65
sergipe;0.0;14.67;16.64;12.38;6.0;6.96
bahia;0.0;5.69;8.8;5.48;4.8;3.9
sudeste;0.0;5.62;2.23;2.44;1.62;0.91
minas gerais;0.0;6.43;5.01;4.08;3.61;2.12
espírito santo;0.0;16.41;11.93;12.24;6.38;5.31
rio de janeiro;0.0;18.98;3.6;4.75;2.66;1.19
são paulo;0.0;12.46;2.96;3.87;2.31;1.27
sul;0.0;6.8;3.15;3.43;2.69;2.39
paraná;0.0;9.61;4.86;4.88;3.88;2.62
santa catarina;0.0;19.2;4.78;8.13;6.1;7.1
rio grande do sul;0.0;9.32;5.98;5.6;4.28;3.46
centro-oeste;0.0;6.61;4.81;4.57;3.07;1.75
mato grosso do sul;0.0;10.84;13.01;7.87;7.3;4.94
mato grosso;0.0;9.42;14.02;14.45;9.0;3.44
goiás;0.0;11.8;5.07;6.5;3.86;2.96
distrito federal;0.0;40.9;8.17;9.27;5.56;1.93
