;total;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               brasil;0.0;0.74;0.56;0.61;0.47;0.81;0.99;1.29
urbana;0.0;0.81;0.62;0.68;0.51;0.86;1.12;1.45
rural;0.0;1.45;1.26;1.46;1.19;1.99;2.24;2.51
norte;0.0;1.81;1.53;2.02;1.46;2.91;3.38;4.68
rondônia;0.0;4.51;3.35;3.28;2.39;5.27;7.42;11.15
acre;0.0;6.29;4.15;3.6;4.2;8.41;8.0;12.36
amazonas;0.0;2.61;3.24;3.39;3.05;4.54;6.87;8.44
roraima;0.0;5.92;6.15;6.68;4.49;9.01;19.8;21.18
pará;0.0;3.63;2.62;4.14;3.05;6.27;5.91;8.96
amapá;0.0;8.73;5.93;7.63;5.42;9.39;14.98;21.71
tocantins;0.0;4.35;5.18;4.99;2.63;8.91;8.95;8.59
nordeste;0.0;1.32;0.91;1.15;0.89;1.56;1.73;2.14
maranhão;0.0;4.99;3.1;4.65;4.18;6.28;6.44;6.01
piauí;0.0;4.74;4.28;4.45;3.57;5.04;5.44;6.6
ceará;0.0;2.55;2.09;2.71;1.99;3.4;3.8;4.55
rio grande do norte;0.0;5.08;3.6;4.75;3.11;6.98;7.02;6.14
paraíba;0.0;3.24;4.17;5.02;3.56;7.81;7.91;9.38
pernambuco;0.0;2.99;1.94;1.58;1.63;2.87;3.2;5.2
alagoas;0.0;4.41;4.29;5.5;2.88;4.77;6.28;7.62
sergipe;0.0;3.9;3.56;3.0;2.71;4.1;7.96;7.32
bahia;0.0;2.75;1.6;2.16;1.63;3.14;3.69;4.88
sudeste;0.0;1.32;1.02;1.05;0.77;1.27;1.67;2.11
minas gerais;0.0;2.13;1.57;1.62;1.3;2.17;2.76;3.5
espírito santo;0.0;4.73;3.91;3.44;2.76;4.79;6.91;8.96
rio de janeiro;0.0;2.34;2.08;2.16;1.44;2.14;3.1;3.6
são paulo;0.0;2.17;1.64;1.64;1.22;2.07;2.7;3.49
sul;0.0;1.76;1.22;1.38;1.07;1.94;2.07;3.13
paraná;0.0;2.8;2.42;1.95;1.75;3.44;3.84;5.72
santa catarina;0.0;4.24;2.0;2.9;2.14;3.32;3.93;8.2
rio grande do sul;0.0;2.53;1.78;2.41;1.77;3.13;3.03;3.84
centro-oeste;0.0;2.02;1.48;1.43;1.25;2.07;3.1;4.18
mato grosso do sul;0.0;3.7;3.18;2.82;2.56;3.86;7.21;6.17
mato grosso;0.0;5.36;3.16;3.48;3.54;5.51;7.53;14.44
goiás;0.0;3.04;2.45;2.33;1.75;3.08;4.61;5.62
