;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.45;0.45;0.45;0.84;0.52
urbana;0.47;0.47;0.47;0.87;0.55
rural;1.08;1.05;1.02;3.67;1.24
norte;2.64;2.43;2.41;3.68;3.17
rondônia;2.06;2.16;2.23;5.81;2.79
acre;5.24;5.04;5.0;7.53;5.83
amazonas;3.11;2.77;2.79;6.34;3.95
roraima;3.07;3.16;2.86;9.58;3.67
pará;6.28;6.12;6.16;7.53;6.92
amapá;7.45;7.06;7.32;7.75;8.05
tocantins;3.22;3.36;3.14;7.74;3.17
nordeste;0.98;1.0;1.01;1.71;1.08
maranhão;3.53;3.3;3.35;7.36;4.25
piauí;2.65;2.8;2.78;5.77;2.78
ceará;1.76;1.92;1.98;3.24;1.95
rio grande do norte;6.6;7.13;7.1;9.9;6.09
paraíba;5.2;5.96;6.2;6.88;4.69
pernambuco;1.77;2.15;2.06;3.34;1.58
alagoas;4.7;4.4;4.42;8.12;5.2
sergipe;4.32;4.82;4.36;11.48;3.87
bahia;1.83;1.76;1.81;2.82;2.09
sudeste;0.63;0.67;0.67;1.25;0.7
minas gerais;1.3;1.36;1.36;2.42;1.38
espírito santo;2.41;2.72;2.77;5.22;2.49
rio de janeiro;1.73;1.82;1.82;2.94;1.78
são paulo;0.81;0.86;0.88;1.72;0.94
sul;0.78;0.79;0.82;1.71;0.93
paraná;1.31;1.35;1.38;3.41;1.55
santa catarina;1.79;1.84;1.93;3.28;1.97
rio grande do sul;1.1;1.07;1.09;2.29;1.44
centro-oeste;1.13;1.18;1.17;2.37;1.32
mato grosso do sul;2.08;2.09;2.13;4.14;2.53
mato grosso;2.44;2.62;2.65;5.8;2.69
goiás;1.79;1.9;1.86;3.88;2.08
