;total;agrícola;indústria;construção;comércio e reparação;serviços
               brasil;0.81;3.16;1.82;1.75;1.28;0.94
urbana;0.93;3.8;2.05;1.91;1.38;1.06
rural;3.32;3.9;7.46;6.16;5.7;4.14
norte;3.86;7.77;7.59;4.49;4.51;4.15
rondônia;5.63;13.62;14.69;7.44;5.05;7.31
acre;12.56;25.85;14.13;8.82;22.09;14.1
amazonas;3.73;5.99;7.81;10.48;7.19;4.72
roraima;4.83;6.34;21.72;16.15;11.65;9.31
pará;10.05;18.67;15.24;10.16;10.11;12.17
amapá;6.27;41.44;14.34;16.35;13.5;7.31
tocantins;4.41;15.39;9.8;7.81;6.1;3.7
nordeste;1.98;5.18;4.09;3.72;2.99;2.12
maranhão;8.54;23.47;22.69;14.46;16.04;7.35
piauí;7.26;14.4;12.67;14.71;9.24;9.23
ceará;4.46;12.68;6.55;9.42;7.35;5.46
rio grande do norte;11.95;20.86;17.37;9.72;13.46;11.29
paraíba;5.7;14.94;11.15;12.87;7.82;5.37
pernambuco;5.01;14.63;10.14;9.74;7.52;4.83
alagoas;8.5;12.18;21.71;12.32;9.73;12.36
sergipe;7.15;14.78;21.56;17.22;8.49;10.09
bahia;3.16;8.47;9.38;6.19;4.51;3.63
sudeste;1.08;6.19;2.79;2.81;1.99;1.39
minas gerais;2.05;7.68;5.59;4.45;4.21;2.49
espírito santo;5.47;20.79;11.69;12.58;6.76;6.32
rio de janeiro;2.5;20.69;5.21;5.68;4.41;2.87
são paulo;1.52;13.04;3.8;4.56;2.72;2.11
sul;1.84;8.02;3.56;3.81;2.77;2.27
paraná;2.65;10.89;5.54;6.18;4.3;3.03
santa catarina;5.23;22.27;5.24;8.35;6.04;5.72
rio grande do sul;2.06;11.29;6.8;5.83;4.2;3.57
centro-oeste;1.81;7.35;5.36;4.83;3.21;2.19
mato grosso do sul;3.33;11.82;16.16;7.69;6.96;4.55
mato grosso;4.67;11.9;13.42;15.69;7.59;5.68
goiás;2.76;12.72;5.47;6.54;4.92;3.43
distrito federal;3.7;41.8;9.85;10.05;6.73;4.48
