;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.22;0.26;1.26;0.36
urbana;0.0;0.22;0.25;1.17;0.35
rural;0.0;0.76;0.85;6.15;1.45
norte;0.0;0.84;0.95;3.02;1.29
rondônia;0.0;2.3;2.47;8.31;4.4
acre;0.0;2.11;2.57;13.58;3.54
amazonas;0.0;1.61;1.37;6.21;2.32
roraima;0.0;1.96;1.96;9.7;2.87
pará;0.0;1.46;1.77;4.81;2.12
amapá;0.0;4.66;4.72;10.91;6.1
tocantins;0.0;1.07;1.4;8.42;2.24
nordeste;0.0;0.53;0.63;2.52;0.79
maranhão;0.0;2.57;2.65;14.07;3.4
piauí;0.0;1.98;2.13;10.97;3.59
ceará;0.0;1.05;1.26;5.16;1.7
rio grande do norte;0.0;2.01;2.49;9.96;3.11
paraíba;0.0;1.33;1.4;11.37;1.5
pernambuco;0.0;1.22;1.89;5.6;1.54
alagoas;0.0;2.46;2.79;9.04;2.76
sergipe;0.0;1.59;1.83;6.33;2.51
bahia;0.0;0.97;1.15;4.08;1.68
sudeste;0.0;0.3;0.36;2.01;0.5
minas gerais;0.0;0.52;0.61;4.05;0.94
espírito santo;0.0;1.23;1.67;8.67;2.26
rio de janeiro;0.0;0.65;0.7;3.46;0.88
são paulo;0.0;0.46;0.55;2.97;0.77
sul;0.0;0.51;0.63;3.32;0.97
paraná;0.0;0.78;0.88;4.23;1.42
santa catarina;0.0;1.36;1.83;10.97;2.82
rio grande do sul;0.0;0.71;0.81;4.49;1.34
centro-oeste;0.0;0.68;0.71;2.92;1.26
mato grosso do sul;0.0;1.2;1.32;6.49;2.24
mato grosso;0.0;2.0;1.94;8.03;3.78
goiás;0.0;1.02;1.12;4.79;1.95
