;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.1;0.18;0.19;0.56;0.51;1.42;0.56
urbana;0.53;0.55;0.57;0.75;0.85;1.5;0.91
rural;2.75;2.74;2.81;3.75;3.01;5.37;3.09
norte;0.34;0.53;0.54;1.81;0.77;4.81;0.85
rondônia;0.94;1.79;1.44;3.01;1.55;6.85;1.67
acre;1.07;1.85;2.23;5.87;1.77;10.94;1.92
amazonas;0.75;1.28;1.3;5.32;1.63;17.0;1.57
roraima;1.36;2.33;2.17;8.31;2.93;15.58;3.31
pará;0.54;0.78;0.83;2.77;1.25;7.95;1.44
amapá;0.99;2.24;2.3;8.58;3.01;20.14;3.2
tocantins;0.72;1.31;1.03;5.07;2.06;11.79;2.36
nordeste;0.22;0.34;0.38;1.66;0.72;2.69;0.78
maranhão;1.17;1.09;2.18;7.85;3.15;14.28;3.42
piauí;0.73;1.5;1.65;9.11;2.64;20.44;2.51
ceará;0.35;0.81;0.7;3.12;1.44;8.92;1.65
rio grande do norte;0.56;0.8;1.17;3.48;1.53;8.49;1.64
paraíba;0.75;1.66;1.27;5.16;3.08;13.59;2.87
pernambuco;0.51;0.78;0.74;2.71;1.6;6.36;1.65
alagoas;0.74;1.43;1.29;8.74;3.15;14.14;3.54
sergipe;0.93;1.43;1.35;6.46;3.2;12.13;2.94
bahia;0.39;0.68;0.58;4.07;1.24;3.05;1.49
sudeste;0.16;0.31;0.31;0.88;1.05;2.15;1.2
minas gerais;0.25;0.57;0.55;1.87;1.43;4.31;1.69
espírito santo;0.57;1.21;1.24;5.27;3.37;7.64;3.46
rio de janeiro;0.3;0.57;0.54;1.71;1.94;3.61;2.37
são paulo;0.26;0.47;0.49;1.22;2.01;3.62;2.25
sul;0.18;0.44;0.41;0.7;2.43;4.01;2.74
paraná;0.29;0.72;0.67;1.34;3.21;7.52;3.48
santa catarina;0.42;0.87;0.75;1.67;9.24;12.71;10.59
rio grande do sul;0.28;0.73;0.7;0.78;3.34;4.92;3.83
centro-oeste;0.27;0.56;0.52;1.89;1.28;3.42;1.38
mato grosso do sul;0.68;1.21;1.37;3.9;3.6;11.24;3.59
mato grosso;0.79;1.39;1.24;6.03;3.79;6.67;4.34
goiás;0.37;0.89;0.78;2.64;1.64;5.58;1.74
distrito federal;0.48;0.94;1.01;2.96;1.85;5.48;2.04
