;total;agrícola;indústria;construção;comércio e reparação;serviços
               brasil;0.45;0.77;0.71;0.79;0.66;0.5
urbana;0.47;1.07;0.76;0.8;0.68;0.53
rural;1.01;0.9;2.7;3.5;2.35;1.73
norte;2.4;2.8;4.3;3.88;3.1;2.38
rondônia;2.23;3.34;4.82;4.16;3.45;2.66
acre;5.0;5.83;5.33;6.09;9.97;6.75
amazonas;2.81;2.05;4.59;5.23;4.58;3.18
roraima;2.86;4.2;7.24;7.47;5.55;3.56
pará;6.17;6.95;8.91;8.99;6.73;6.72
amapá;7.32;2.72;10.38;14.05;10.62;6.2
tocantins;3.14;3.37;3.76;4.36;3.63;3.15
nordeste;1.01;1.36;1.8;1.67;1.34;1.1
maranhão;3.36;3.19;10.42;5.9;4.79;4.51
piauí;2.78;1.75;6.23;4.47;3.9;3.64
ceará;1.98;4.42;2.84;3.81;2.89;2.08
rio grande do norte;7.1;10.48;8.16;8.33;7.98;5.91
paraíba;6.19;11.22;10.01;7.99;5.26;5.22
pernambuco;2.08;2.46;2.63;3.19;3.11;2.07
alagoas;4.39;3.76;7.29;7.79;6.41;6.85
sergipe;4.39;6.6;3.67;6.11;5.84;6.34
bahia;1.8;2.43;3.9;2.82;2.55;1.85
sudeste;0.67;1.24;1.06;1.14;1.04;0.77
minas gerais;1.35;1.79;2.25;2.01;1.93;1.4
espírito santo;2.77;3.94;5.4;6.35;4.58;3.59
rio de janeiro;1.83;3.0;2.66;2.84;2.5;1.92
são paulo;0.88;1.91;1.37;1.62;1.48;1.05
sul;0.82;1.32;1.1;1.56;1.35;0.98
paraná;1.38;2.36;2.33;3.1;2.44;1.61
santa catarina;1.93;2.9;1.7;2.87;3.08;2.11
rio grande do sul;1.09;1.59;1.68;1.8;1.56;1.5
centro-oeste;1.17;2.21;2.05;2.59;1.69;1.27
mato grosso do sul;2.13;3.19;2.99;4.0;2.89;2.52
mato grosso;2.65;3.99;4.25;7.73;3.77;2.92
goiás;1.86;3.4;3.0;3.74;2.65;2.07
distrito federal;2.97;5.29;6.74;6.96;4.69;2.87
