;total;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos(ou mais);60 a 69 anos;70 anos ou mais
               brasil;0.69;0.89;0.8;0.81;0.77;0.91;1.01;1.11
urbana;0.7;0.93;0.82;0.88;0.81;0.96;1.15;1.22
rural;1.49;1.77;1.7;1.84;1.65;1.65;1.82;1.89
norte;3.4;3.85;3.66;3.6;3.59;3.9;3.91;3.93
rondônia;2.8;4.14;3.51;3.23;3.3;4.27;4.82;4.77
acre;11.46;13.55;12.67;9.9;12.51;15.21;14.75;13.82
amazonas;4.28;4.77;5.68;4.13;4.86;6.13;5.42;6.39
roraima;4.38;6.72;5.53;5.67;4.85;6.74;5.82;7.94
pará;8.56;8.83;8.88;8.85;9.48;10.0;9.54;9.29
amapá;8.76;10.74;7.53;10.61;10.06;10.82;17.1;11.8
tocantins;3.13;3.2;3.87;2.72;3.57;7.98;4.45;5.75
nordeste;1.67;1.97;1.72;1.8;1.9;2.0;2.14;2.09
maranhão;8.0;9.51;8.22;7.82;10.07;7.1;10.61;7.2
piauí;5.66;4.78;6.31;6.8;6.44;7.89;6.33;7.2
ceará;4.07;4.75;4.0;4.52;3.76;6.12;5.14;5.45
rio grande do norte;9.05;9.38;8.8;10.14;10.05;11.85;13.07;6.31
paraíba;5.58;5.21;5.7;6.72;6.32;6.1;8.79;7.95
pernambuco;2.76;3.69;2.92;3.3;3.4;3.64;3.18;3.46
alagoas;8.57;8.81;8.28;9.4;9.92;9.28;10.27;10.11
sergipe;5.55;7.19;7.15;4.88;7.33;6.94;7.92;5.99
bahia;2.72;3.29;2.48;2.84;3.2;3.54;3.52;4.33
sudeste;0.94;1.22;1.16;1.21;1.14;1.4;1.61;1.86
minas gerais;1.87;2.04;2.22;1.99;2.21;2.39;2.47;3.17
espírito santo;3.82;5.35;4.58;4.5;4.31;5.04;6.58;8.32
rio de janeiro;2.27;3.09;2.81;2.96;2.95;3.08;3.4;3.62
são paulo;1.3;1.8;1.65;1.81;1.58;2.16;2.6;2.9
sul;1.37;1.7;1.61;1.64;1.48;1.94;2.07;2.13
paraná;2.2;2.92;2.4;3.16;2.59;2.69;3.55;3.7
santa catarina;3.68;4.2;4.25;3.36;3.72;4.72;4.68;4.9
rio grande do sul;1.64;2.13;2.02;2.18;1.68;3.0;3.02;2.84
centro-oeste;1.41;2.07;1.94;1.7;1.57;2.16;2.61;2.96
mato grosso do sul;3.21;4.03;3.71;3.62;3.36;4.33;7.06;5.37
mato grosso;2.78;3.85;4.32;3.68;3.0;5.86;6.3;7.92
goiás;2.21;3.28;3.09;2.7;2.52;2.98;3.29;4.43
