;total;classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo).1;classes de rendimento mensal domiciliar per capita (salário mínimo).2;classes de rendimento mensal domiciliar per capita (salário mínimo).3;classes de rendimento mensal domiciliar per capita (salário mínimo).4;classes de rendimento mensal domiciliar per capita (salário mínimo).5
               brasil;0.0;1.95;0.97;0.74;0.75;1.34;3.51
urbana;0.0;1.93;1.14;0.78;0.77;1.37;3.67
rural;0.0;3.23;1.87;1.77;2.85;4.53;10.76
norte;0.0;5.32;2.08;2.02;2.26;4.16;11.0
rondônia;0.0;16.38;6.57;4.1;3.83;10.12;40.93
acre;0.0;10.3;7.52;6.59;7.72;15.39;33.53
amazonas;0.0;11.99;4.11;4.74;4.86;9.19;19.07
roraima;0.0;12.9;9.16;7.34;9.02;15.44;33.23
pará;0.0;7.84;3.18;3.17;4.03;7.4;16.82
amapá;0.0;32.69;7.89;8.6;15.33;16.24;47.91
tocantins;0.0;12.38;7.03;5.46;5.15;11.63;37.83
nordeste;0.0;2.71;1.39;1.49;2.1;3.6;6.55
maranhão;0.0;14.73;4.32;7.32;11.76;15.19;16.77
piauí;0.0;9.51;5.26;5.84;11.4;20.55;27.47
ceará;0.0;5.3;2.58;3.58;3.24;7.54;12.31
rio grande do norte;0.0;6.48;5.35;4.45;7.55;11.87;32.9
paraíba;0.0;5.86;7.42;4.14;7.36;20.05;18.32
pernambuco;0.0;5.14;3.43;3.46;3.16;7.46;11.76
alagoas;0.0;6.03;3.88;5.6;9.32;15.74;15.53
sergipe;0.0;8.37;3.82;5.09;6.74;11.77;26.73
bahia;0.0;4.58;2.86;2.41;3.43;5.73;15.53
sudeste;0.0;4.26;2.09;1.2;1.14;1.99;5.93
minas gerais;0.0;7.34;3.0;1.87;2.05;3.53;12.16
espírito santo;0.0;16.92;6.05;4.07;3.9;9.63;20.34
rio de janeiro;0.0;7.02;3.84;2.46;2.03;3.55;12.56
são paulo;0.0;7.26;4.03;1.98;1.75;2.97;8.58
sul;0.0;6.67;3.56;1.97;1.43;2.65;8.78
paraná;0.0;11.59;5.25;3.01;2.41;4.59;13.11
santa catarina;0.0;21.94;10.98;5.42;3.09;6.44;21.19
rio grande do sul;0.0;7.76;5.25;2.83;2.14;3.23;13.97
centro-oeste;0.0;6.84;3.16;1.79;1.81;3.43;8.97
mato grosso do sul;0.0;12.1;7.87;4.18;4.28;9.35;20.38
mato grosso;0.0;19.73;7.51;3.45;4.82;9.58;18.74
goiás;0.0;8.02;4.29;2.59;2.28;5.3;14.47
distrito federal;0.0;12.74;7.61;5.66;4.6;5.62;14.44
