nome_original;nome_arquivo_hash
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;649238b90f4ec95491ced72558cf3d61
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;1b7083dbdd54ac7c8135c8f1237c7e5d
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras na sua cidade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;f9016f043775aa0c3eb4d34c79d5d9e6
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras na sua cidade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;fae3e576cac17bf42100c8f90b2aefc6
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras na sua cidade, na população de 10 anos ou mais de idade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;1936e8c4038e4c09f55b618b78466c24
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;3185a5fd02cf2d28f4d473d180654591
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;624f321c759f1b0a5ff639e19c3f962d
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras na sua cidade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;94f1eb020baeef725483986a9144ecf1
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras na sua cidade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;30dab39fbcace2215b7ae98d21cf8061
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras na sua cidade, na população de 10 anos ou mais de idade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;9b7ba1bb39ff522f46958d568b273da3
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;94d5111ea9be2be08b8d2c8378bd8377
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;9cb39c455fa97ef650ce895525fc3cec
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras na sua cidade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;194037999154bf87ef229ca2d4bacbe8
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras na sua cidade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;ebddeee79fb16c7d16a9f88872384f24
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras na sua cidade, na população de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, situação do domicílio, as Grandes Regiões e as Unidades da Federação;341382740750a23b5a03f0434cd791db
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, bairro e cidade, e percentual de pessoas que se sentiam seguras no seu domicílio, bairro e cidade, na população de 10 anos ou mais de idade, segundo a;157d8a07192476b0bc971a790ae5ac2c
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;56043aa03f754b77d3510f197cbf42ee
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;3be733553845014d76914e9275a12a7e
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras no seu domicílio, na população de 10 anos ou mais de idade, por sexo e cor ou raça, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;16b0a4bbd7a22b924fd6e3399538d035
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;b83880502c4b4fe86cdf9c4078fad626
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;d79304df3101df8b2c5e3d27cca71da0
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras no seu domicílio, na população de 10 anos ou mais de idade, por grupos de idade, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;af6d7be1fef0d460d5e21a5961515e83
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;6cac3da914b4370f11478da227d16124
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;f71ad47d1cccacecaff0fc8bd498b280
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;506924bee7bdcba35ea758e74cac1ae4
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;3101ca906f0a652fa29e63752a43cd42
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras no seu domicílio, na população de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;055b9412c7d1cbe0b16f5d9f58f8e406
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;24553aca48eb28950de4381be1357db1
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;a5708475e2d95d1ff76663a9c2054292
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras no seu domicílio, na população de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;5fead6178653dde8539dbef6e66553b8
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;685f713f400677e6da6ed327d86d0d9a
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;4fae21c215c977c74cfe700b74f3dfac
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;0ad55e100dad4a670c11e9c6f9ad43bd
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que se sentiam seguras no seu domicílio, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;dfb45fcfca95c98123f7970089e92326
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras no seu domicílio, na população de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;baec96edf211f07b51d3642c0dbe72f0
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;134c8ddd28eeb3ae67bcd6382438637b
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;269d5c6105691fbc85009f6c03d733c0
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que se sentiam seguras no seu domicílio, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;5b99014de02be87a748f323e27271508
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que se sentiam seguras no seu domicílio, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;a3a7b7669f64ce5eeefc036f77b44e1d
Coeficientes de variação das estimativas de percentual de pessoas que se sentiam seguras no seu domicílio, na população de 10 anos ou mais de idade, ocupada na semana de referência, por posição na ocupação no trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;d8ededd9d807bd0331f2860c5adad641
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupamentos de atividade do trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;f84f1d85624f1eca3a98827dcc6cb2fd
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupamentos de atividade do trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;c39069682969a7b85493fe101fc06db1
Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que se sentiam seguras no seu domicílio, por grupamentos de atividade do trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;a222a87b2b66c91cf14631d6a16468e9
Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que se sentiam seguras no seu domicílio, por grupamentos de atividade do trabalho principal, segundo a situação do domicílio, as Grandes Regiões e as Unidades da Federação;f4b401307e543bdc1824178d6d7b041d
