;total;agrícola;indústria;construção;comércio e reparação;serviços
               brasil;0.43;2.74;1.4;1.4;1.05;0.71
urbana;0.68;3.36;1.56;1.55;1.13;0.82
rural;2.91;3.47;7.08;5.97;5.8;3.94
norte;2.3;7.06;5.03;3.88;2.88;2.61
rondônia;3.72;10.57;14.45;7.76;4.17;5.78
acre;6.48;16.92;13.33;9.66;10.19;8.92
amazonas;2.26;5.74;5.74;6.66;5.15;3.78
roraima;3.91;6.71;15.7;15.07;8.65;7.86
pará;4.99;15.75;9.13;7.99;5.16;5.58
amapá;4.99;41.2;12.81;11.65;14.06;7.74
tocantins;3.75;15.61;8.88;8.15;5.93;3.54
nordeste;0.91;4.27;3.2;2.63;2.5;1.59
maranhão;2.98;17.8;18.86;9.45;13.53;8.26
piauí;3.18;13.68;10.01;12.04;11.09;8.2
ceará;1.71;9.21;5.01;5.94;4.59;3.11
rio grande do norte;6.21;15.17;11.4;7.94;11.1;6.5
paraíba;2.49;12.37;10.66;11.5;7.38;5.51
pernambuco;2.95;12.99;7.59;6.89;5.07;2.93
alagoas;4.63;11.18;14.04;10.48;10.12;7.0
sergipe;3.15;16.34;17.0;11.43;6.02;7.1
bahia;1.46;7.1;7.13;4.31;3.58;2.69
sudeste;0.64;5.79;2.11;2.31;1.56;1.0
minas gerais;1.17;7.11;4.57;3.62;3.11;1.76
espírito santo;3.03;17.9;8.96;9.47;6.27;4.47
rio de janeiro;1.42;19.91;3.47;4.67;2.82;1.74
são paulo;0.95;12.72;2.89;3.74;2.32;1.57
sul;0.89;7.21;2.91;3.28;2.42;2.12
paraná;1.27;10.13;4.13;4.72;3.77;2.48
santa catarina;2.62;20.43;5.61;8.51;5.9;7.08
rio grande do sul;1.09;9.96;5.11;5.03;3.38;2.74
centro-oeste;1.24;7.1;4.2;4.17;2.75;1.79
mato grosso do sul;2.11;11.69;13.54;7.01;6.71;4.13
mato grosso;3.79;10.63;10.89;13.5;8.18;5.27
goiás;1.82;12.84;4.53;5.99;3.62;2.86
distrito federal;1.96;39.3;7.45;7.29;4.76;2.89
