;total;menos de 1/4;1/4 a menos de 1/2;1/2 a menos de 1;1 a menos de 2;2 ou mais;sem rendimento (2)
               brasil;0.0;2.21;1.09;0.82;0.82;1.41;4.0
urbana;0.0;2.21;1.29;0.87;0.83;1.43;4.15
rural;0.0;3.32;1.95;1.92;3.01;4.99;11.58
norte;0.0;6.04;2.6;2.49;2.34;4.58;11.58
rondônia;0.0;20.68;7.46;4.36;4.4;10.18;47.8
acre;0.0;10.97;7.36;8.57;7.48;16.31;34.15
amazonas;0.0;15.12;4.73;6.55;5.81;10.27;20.23
roraima;0.0;15.7;9.38;7.9;9.91;15.58;44.27
pará;0.0;8.44;4.25;3.96;3.78;8.41;17.05
amapá;0.0;36.67;8.73;8.69;18.41;17.87;46.97
tocantins;0.0;14.51;10.2;5.22;5.71;12.21;41.45
nordeste;0.0;3.01;1.55;1.69;2.31;3.77;7.77
maranhão;0.0;16.63;5.48;8.23;13.22;18.5;17.67
piauí;0.0;9.43;5.34;5.71;12.94;19.11;32.68
ceará;0.0;6.27;3.12;4.33;3.51;8.25;13.58
rio grande do norte;0.0;6.29;5.63;5.72;7.05;12.45;39.82
paraíba;0.0;6.11;8.53;5.0;7.83;19.5;21.97
pernambuco;0.0;5.8;3.55;3.86;3.57;7.95;12.74
alagoas;0.0;5.85;4.34;6.81;9.07;16.17;13.34
sergipe;0.0;9.11;4.46;5.54;6.92;11.73;28.76
bahia;0.0;5.09;3.05;2.54;3.77;6.2;18.64
sudeste;0.0;4.65;2.23;1.28;1.23;2.07;6.69
minas gerais;0.0;8.06;3.2;2.03;2.23;3.65;12.84
espírito santo;0.0;18.62;6.28;4.49;4.34;8.84;23.09
rio de janeiro;0.0;7.34;4.41;2.62;2.21;3.61;15.08
são paulo;0.0;7.92;4.25;2.11;1.89;3.09;9.68
sul;0.0;6.85;3.89;2.18;1.54;2.76;9.24
paraná;0.0;11.64;5.79;3.32;2.75;4.74;14.44
santa catarina;0.0;23.23;10.59;6.2;3.08;6.43;19.97
rio grande do sul;0.0;8.26;5.92;3.01;2.31;3.61;14.96
centro-oeste;0.0;7.6;3.56;1.9;2.01;3.57;10.81
mato grosso do sul;0.0;14.73;8.82;4.53;5.06;9.52;23.37
mato grosso;0.0;20.7;8.11;3.31;5.24;10.82;24.08
goiás;0.0;8.88;4.89;2.8;2.46;5.72;17.52
distrito federal;0.0;15.89;8.63;6.19;5.02;5.33;16.29
