;total;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.0;0.19;0.19;0.64;0.64;1.72;0.7
urbana;0.0;0.22;0.21;0.67;0.73;1.69;0.82
rural;0.0;0.36;0.4;2.51;1.62;5.43;1.7
norte;0.0;0.53;0.56;2.23;0.73;5.08;0.75
rondônia;0.0;1.73;1.75;3.0;1.7;7.52;1.93
acre;0.0;1.8;1.94;7.29;2.46;15.64;2.46
amazonas;0.0;1.03;1.03;5.87;1.55;21.93;1.46
roraima;0.0;2.08;2.17;7.61;2.89;16.3;3.14
pará;0.0;0.98;1.05;3.66;1.11;8.45;1.17
amapá;0.0;2.58;2.7;10.43;3.7;25.87;3.39
tocantins;0.0;0.78;0.89;6.35;2.12;13.54;2.49
nordeste;0.0;0.33;0.33;2.1;0.83;3.4;0.91
maranhão;0.0;1.0;1.02;10.22;3.3;15.48;4.03
piauí;0.0;1.63;1.57;9.66;2.9;26.25;2.67
ceará;0.0;0.86;0.87;3.74;1.56;10.78;1.75
rio grande do norte;0.0;1.09;1.15;3.03;1.61;13.02;1.76
paraíba;0.0;1.67;1.62;4.9;2.89;15.45;2.58
pernambuco;0.0;0.76;0.73;3.26;1.7;8.24;1.82
alagoas;0.0;1.09;1.06;11.99;4.07;18.76;4.42
sergipe;0.0;1.73;1.71;6.78;2.68;16.75;2.51
bahia;0.0;0.55;0.56;5.03;1.6;3.72;1.81
sudeste;0.0;0.32;0.32;0.89;1.19;2.51;1.37
minas gerais;0.0;0.6;0.6;1.97;1.62;4.74;1.93
espírito santo;0.0;1.55;1.62;6.07;4.65;10.2;4.7
rio de janeiro;0.0;0.63;0.58;1.97;2.36;4.23;2.78
são paulo;0.0;0.48;0.48;1.16;2.23;4.27;2.54
sul;0.0;0.5;0.49;0.73;2.79;4.73;3.07
paraná;0.0;0.85;0.83;1.51;3.77;8.56;4.02
santa catarina;0.0;0.99;1.0;1.48;9.41;14.7;10.32
rio grande do sul;0.0;0.79;0.77;0.86;3.79;5.71;4.28
centro-oeste;0.0;0.66;0.67;2.15;1.54;4.24;1.62
mato grosso do sul;0.0;1.41;1.43;3.68;3.86;11.97;4.0
mato grosso;0.0;1.62;1.73;7.44;4.19;7.97;4.6
goiás;0.0;1.04;1.06;3.0;2.05;6.94;2.15
distrito federal;0.0;1.16;1.09;3.05;2.39;7.36;2.59
