;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.46;0.53;0.57;1.54;0.64
urbana;0.72;0.76;0.77;1.64;0.84
rural;2.88;2.94;2.98;6.38;3.36
norte;2.71;2.97;3.11;4.19;3.13
rondônia;2.6;4.08;4.28;10.34;5.59
acre;4.68;6.11;6.59;15.07;3.98
amazonas;3.27;2.77;2.61;9.9;5.77
roraima;3.45;4.09;4.1;10.79;4.94
pará;6.41;7.28;7.66;7.12;6.27
amapá;7.42;5.68;5.67;12.32;13.25
tocantins;3.47;4.14;4.31;9.01;3.19
nordeste;1.0;1.18;1.3;3.06;1.4
maranhão;3.52;3.6;4.19;17.36;5.96
piauí;2.71;3.97;4.05;13.3;3.49
ceará;1.78;2.19;2.4;6.59;2.44
rio grande do norte;6.87;8.72;9.29;14.34;5.27
paraíba;4.74;5.3;5.17;15.4;5.17
pernambuco;1.9;3.15;3.73;5.26;1.96
alagoas;4.94;5.05;5.55;9.21;6.15
sergipe;4.9;5.27;5.17;11.86;6.11
bahia;1.88;2.04;2.27;5.25;3.08
sudeste;0.66;0.74;0.8;2.41;0.88
minas gerais;1.35;1.48;1.56;4.92;1.7
espírito santo;2.68;3.32;3.86;10.31;3.67
rio de janeiro;1.8;1.96;1.99;4.4;2.09
são paulo;0.84;0.98;1.1;3.5;1.24
sul;0.81;1.03;1.18;3.88;1.41
paraná;1.36;1.63;1.74;5.82;2.26
santa catarina;1.85;2.72;3.27;10.46;2.96
rio grande do sul;1.19;1.32;1.46;5.43;2.26
centro-oeste;1.16;1.51;1.55;3.93;1.88
mato grosso do sul;2.06;2.47;2.58;7.55;3.72
mato grosso;2.7;4.02;3.95;11.16;4.59
goiás;1.8;2.34;2.45;6.43;2.93
