;total;sem instrução;fundamental incompleto ou equivalente;fundamental completo ou equivalente;médio incompleto ou equivalente;médio completo ou equivalente;superior incompleto ou equivalente;superior completo ou equivalente
               brasil;0.0;1.47;0.55;0.99;0.99;0.84;1.72;1.87
urbana;0.0;1.54;0.6;1.02;1.03;0.74;1.73;1.87
rural;0.0;2.41;0.79;2.68;2.84;3.05;6.59;6.49
norte;0.0;4.27;1.41;2.86;3.62;2.44;5.23;4.47
rondônia;0.0;8.0;3.15;6.63;6.58;4.18;10.77;11.25
acre;0.0;7.08;5.4;6.37;9.81;6.99;14.34;14.88
amazonas;0.0;12.66;2.39;6.92;5.7;4.13;9.84;10.64
roraima;0.0;11.01;6.36;10.67;11.4;7.01;14.86;17.25
pará;0.0;6.97;2.47;4.91;7.96;5.2;11.05;8.5
amapá;0.0;11.88;8.65;10.62;10.3;11.22;17.34;17.22
tocantins;0.0;7.52;3.28;7.09;5.4;4.74;13.7;9.5
nordeste;0.0;2.31;1.04;2.34;1.93;2.49;3.99;4.35
maranhão;0.0;9.65;5.13;12.06;8.54;14.64;16.96;22.05
piauí;0.0;10.28;3.22;11.28;9.85;13.85;16.05;20.59
ceará;0.0;4.56;1.91;3.33;2.97;4.98;9.42;10.27
rio grande do norte;0.0;6.92;3.99;10.22;8.28;6.05;16.68;12.66
paraíba;0.0;10.55;2.94;4.8;10.42;6.32;17.53;18.39
pernambuco;0.0;3.84;1.99;4.37;4.73;3.69;6.78;7.45
alagoas;0.0;6.4;4.04;6.15;7.43;9.34;17.26;16.93
sergipe;0.0;10.03;2.71;5.15;9.31;6.14;12.51;12.63
bahia;0.0;4.25;1.88;3.82;2.83;3.55;8.22;7.4
sudeste;0.0;2.28;0.92;1.53;1.65;1.07;2.66;2.77
minas gerais;0.0;4.33;1.41;2.67;3.33;2.11;4.92;4.8
espírito santo;0.0;7.57;3.03;5.04;4.9;4.97;11.6;9.12
rio de janeiro;0.0;4.63;1.52;3.0;3.2;1.92;5.14;5.01
são paulo;0.0;3.44;1.59;2.39;2.43;1.55;3.91;4.09
sul;0.0;4.67;1.32;1.92;2.1;1.81;3.88;4.07
paraná;0.0;7.33;2.09;3.37;4.13;2.39;5.85;6.92
santa catarina;0.0;9.6;4.2;4.18;3.93;4.39;9.21;9.03
rio grande do sul;0.0;7.84;1.41;2.71;2.85;2.82;5.49;5.36
centro-oeste;0.0;3.77;1.43;2.58;2.34;1.83;3.87;4.5
mato grosso do sul;0.0;4.78;4.19;5.6;6.37;4.95;10.84;11.67
mato grosso;0.0;10.29;2.48;7.27;5.03;3.66;9.12;12.78
goiás;0.0;4.94;1.75;3.51;3.26;2.82;5.89;7.16
distrito federal;0.0;8.88;4.49;5.58;5.62;3.77;6.78;6.95
