;total(1);sexo;sexo;cor ou raça;cor ou raça;cor ou raça;cor ou raça
;unnamed: 1_level_1;homens;mulheres;branca;preta/parda;preta;parda
               brasil;0.6928770063293205;0.7276622813388498;0.7237218662075712;0.9649814785319062;1.0694892987632316;2.0963328571314794;1.1494066638226776
situação do domicílio;;;;;;;
urbana;0.8587980411850094;0.891576150167402;0.8970706186869837;1.0878855727154464;1.2365286513945273;2.1072666267556577;1.3226863156190791
rural;3.25391337464394;3.208105724805562;3.367786289168296;4.170488497400846;3.7235844145040033;6.460993726707648;3.8230490765062366
grandes regiões e unidades da federação;;;;;;;
norte;3.4768448133496843;3.539967467924956;3.5142378534586527;3.4926504782651557;3.7990808723733815;6.272179608686657;3.8336212141527755
rondônia;3.3155334009307493;4.066222730551107;3.460686205685528;4.734966341435021;3.673034632728099;8.806889398846353;4.072842100129235
acre;10.766037584684941;11.06901070500634;10.670731043534431;14.496896593964458;10.429946173059076;20.62865367213075;10.710269446026876
amazonas;4.418281608947436;4.774823161702064;4.359980645584146;7.251866512735738;5.000876783577505;25.737196033334936;4.806420490176979
roraima;4.756212922640313;5.3255097458141725;5.183421899544729;8.961987330019374;5.4852429107120155;17.597291013169553;5.796712616983622
pará;8.708223025440608;8.648892917876307;8.935680619516937;8.330555618831855;9.022627375983012;12.065577411731784;9.064163348455002
amapá;8.663353080183908;9.61995803518318;8.248005262957353;17.9054132086401;6.7620099807626275;24.210462803737023;7.493537321272747
tocantins;3.401724653742177;3.2874261121148325;3.789953367655787;6.308638321606763;4.898033723522428;13.83587010614151;5.0658676958117566
nordeste;1.653280897927568;1.70389735416727;1.675108115882935;2.655816658165791;2.0366057376378937;4.449161186226763;2.1414008341254998
maranhão;7.394463318254337;7.684601121422091;7.267828567267048;12.957668919973722;8.758770102825974;16.748297050425297;10.22038145894486
piauí;5.896780275014431;6.007528397394296;6.0817919799124684;9.453224471453266;7.51465436712801;31.822807499630297;6.694548497980144
ceará;4.10944186047277;4.241612002328409;4.191060031579496;4.716903870141481;4.847335349319752;14.0978374864585;4.795045790329499
rio grande do norte;9.232800347021263;8.711768661217958;9.870092014996668;11.562042344204523;8.305640431077553;12.339870169348337;8.75531532390947
paraíba;5.5882820119528605;5.888240376756257;5.5441848192891054;6.8964993737661775;6.865564114228651;12.04836259437774;6.909562135793559
pernambuco;2.8433055418041664;3.2783727084527645;2.647514661367444;3.523322279187858;4.045369352373674;10.420822156393106;4.059597145290524
alagoas;8.573679076448991;8.369221577078443;8.896911676739673;17.72063987643193;9.473575414882262;20.972028051639775;10.387742002158767
sergipe;5.9242236093586085;6.5392799000864885;5.849817669668029;8.053623842991975;7.007288516007485;18.72608251823245;6.97676735608239
bahia;2.7407424231752375;2.7847441046002728;2.8706620099880538;5.963876229111223;3.610283934931857;5.899886452971694;3.714714066224043
sudeste;0.953118753008872;1.0090934337028075;1.0422296733455154;1.4720353727715787;1.4921070231835298;3.0290789969070118;1.6435989718600372
minas gerais;1.894990983554854;2.003310264746617;2.0130684951490356;3.2038385677370105;2.1678214421809945;5.6006713453562496;2.2503453242049773
espírito santo;4.038166149009035;3.8518919778635516;4.983357256230466;8.80418932663505;5.227630751158408;12.218955792295825;5.724061329522098
rio de janeiro;2.335418274795894;2.3827248015546347;2.5149375831041985;3.7324407968919635;3.156952793980208;5.640401303600758;3.3974549894172736
são paulo;1.3040693829140542;1.4061558130044916;1.4473542994601352;1.886195956057096;2.7384159456068207;4.956486314829799;3.1057296853733733
sul;1.3850223889952664;1.5055090811456124;1.4468501896626673;1.754023811499629;3.2217684146813164;5.087925844676839;3.601614726687955
paraná;2.17783554277198;2.3271275384231584;2.462165665182943;2.656852338085135;4.90626690032197;8.933270579978922;5.306863704715269
santa catarina;3.733299083458498;3.6933641983815853;3.961758406306001;4.878412984967039;7.816015427384113;13.168721244761429;9.06162130458714
rio grande do sul;1.6935469078025749;2.143334308868634;1.541307339217039;1.838887141112;4.9997070252886;7.009568795246629;5.623733054616518
centro-oeste;1.405888871601273;1.6255970076417754;1.5744324738491347;2.5949918302962063;2.349123536634424;4.9170232365472755;2.4511652147968532
mato grosso do sul;3.0613589528494347;3.6884968144666272;3.113295287683079;4.15202663840212;5.298865866465358;10.73614003314723;5.842584303283794
mato grosso;2.8621244155797023;3.8808239479956383;2.5939661005808836;8.26198330544913;5.995072884640009;9.593045431716474;6.307604532982513
goiás;2.190081720279117;2.3248822472994948;2.747284271774886;3.785698292318595;3.3205114538489675;8.231513804545303;3.4431239154378264
distrito federal;3.7679484801753165;3.9030626682136083;4.000778682071914;5.024768398545165;4.343937480142502;9.378804756806005;4.451807146905777
