;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;0.0;0.21;0.22;0.75;0.74;2.01;0.83
Situação do domicílio;;;;;;;
Urbana;0.0;0.25;0.25;0.75;0.82;1.94;0.92
Rural;0.0;0.42;0.47;2.68;1.75;5.94;1.84
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;0.57;0.62;2.57;0.81;5.4;0.82
Rondônia;0.0;1.79;1.85;3.28;1.92;9.15;2.17
Acre;0.0;1.5;1.73;8.36;2.98;21.17;2.3
Amazonas;0.0;1.17;1.19;6.73;1.61;24.16;1.49
Roraima;0.0;2.19;2.29;7.3;2.7;17.49;2.95
Pará;0.0;1.1;1.23;4.18;1.18;8.7;1.23
Amapá;0.0;2.3;2.44;11.08;4.36;27.03;3.84
Tocantins;0.0;0.87;1.01;6.99;2.35;13.45;2.52
Nordeste;0.0;0.35;0.35;2.39;0.93;4.33;1.02
Maranhão;0.0;1.12;1.14;11.46;3.82;20.79;4.77
Piauí;0.0;1.33;1.33;9.67;3.06;29.33;2.61
Ceará;0.0;0.93;0.97;4.02;1.58;12.16;1.79
Rio Grande do Norte;0.0;0.97;1.05;3.33;1.71;14.11;1.81
Paraíba;0.0;1.21;1.22;5.89;2.9;11.73;2.55
Pernambuco;0.0;0.89;0.87;3.71;1.86;9.36;2.06
Alagoas;0.0;1.07;1.05;14.68;4.85;23.78;5.17
Sergipe;0.0;1.84;1.84;6.7;2.65;18.32;2.32
Bahia;0.0;0.67;0.71;5.78;1.91;4.96;2.14
Sudeste;0.0;0.38;0.38;0.98;1.31;2.84;1.53
Minas Gerais;0.0;0.66;0.67;2.1;1.72;4.99;2.06
Espírito Santo;0.0;1.81;1.89;6.5;5.09;13.74;4.94
Rio de Janeiro;0.0;0.77;0.72;2.35;2.85;5.03;3.37
São Paulo;0.0;0.57;0.58;1.28;2.5;4.78;2.92
Sul;0.0;0.51;0.51;0.86;3.15;5.28;3.46
Paraná;0.0;0.99;1.0;1.78;4.1;9.15;4.42
Santa Catarina;0.0;0.83;0.86;1.53;9.69;14.87;10.59
Rio Grande do Sul;0.0;0.79;0.78;1.02;4.45;6.84;5.04
Centro-Oeste;0.0;0.75;0.78;2.37;1.72;4.76;1.82
Mato Grosso do Sul;0.0;1.49;1.56;3.8;3.83;11.95;4.04
Mato Grosso;0.0;1.62;1.79;8.14;4.88;8.69;5.34
Goiás;0.0;1.27;1.31;3.35;2.22;7.97;2.36
Distrito Federal;0.0;1.23;1.16;3.11;2.44;8.53;2.69
