;Total;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade
;;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               Brasil;0.1;0.6;0.46;0.5;0.39;0.69;0.87;1.11
Situação do domicílio;;;;;;;;
Urbana;0.53;0.85;0.75;0.77;0.67;0.88;1.07;1.27
Rural;2.75;3.2;3.15;3.02;2.87;3.18;3.37;3.62
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;0.34;1.36;1.05;1.44;1.22;2.44;3.06;3.89
Rondônia;0.94;4.18;2.96;3.29;1.92;4.69;7.24;8.86
Acre;1.07;6.95;3.76;4.36;4.39;5.96;7.86;9.14
Amazonas;0.75;2.48;1.93;2.35;2.71;3.95;6.91;7.52
Roraima;1.36;5.58;5.58;4.99;3.48;8.02;16.89;20.61
Pará;0.54;2.16;1.67;2.52;2.08;4.47;4.92;6.75
Amapá;0.99;7.5;4.35;6.62;4.48;8.18;10.79;18.98
Tocantins;0.72;3.49;4.0;3.48;2.86;6.23;7.55;7.06
Nordeste;0.22;1.1;0.84;0.93;0.72;1.37;1.53;1.91
Maranhão;1.17;4.24;3.69;4.51;3.18;6.3;6.04;5.45
Piauí;0.73;4.7;4.2;3.93;3.29;4.8;4.79;6.0
Ceará;0.35;1.94;1.46;2.11;1.43;3.11;3.18;4.49
Rio Grande do Norte;0.56;5.18;2.81;3.43;3.26;5.36;5.65;6.0
Paraíba;0.75;3.0;4.97;4.33;2.8;4.8;4.7;7.01
Pernambuco;0.51;2.28;1.42;1.32;1.52;2.79;2.82;4.48
Alagoas;0.74;4.36;3.46;3.74;2.51;4.69;5.9;7.78
Sergipe;0.93;3.06;2.61;2.59;2.02;4.52;7.59;9.49
Bahia;0.39;2.31;1.33;1.53;1.34;2.71;3.54;4.23
Sudeste;0.16;1.08;0.83;0.86;0.67;1.1;1.46;1.81
Minas Gerais;0.25;1.83;1.28;1.39;1.15;1.89;2.25;3.04
Espírito Santo;0.57;3.93;4.01;2.78;2.55;4.32;5.3;7.48
Rio de Janeiro;0.3;1.99;1.73;1.81;1.25;1.86;2.72;3.25
São Paulo;0.26;1.74;1.31;1.35;1.05;1.77;2.42;2.94
Sul;0.18;1.48;1.04;1.18;0.84;1.64;1.74;2.67
Paraná;0.29;2.43;1.86;1.67;1.32;3.13;3.05;4.85
Santa Catarina;0.42;3.56;2.08;2.87;1.67;3.06;3.81;6.78
Rio Grande do Sul;0.28;2.09;1.53;1.93;1.42;2.32;2.53;3.39
Centro-Oeste;0.27;1.63;1.15;1.12;1.12;1.78;2.68;3.47
Mato Grosso do Sul;0.68;3.33;2.34;2.85;2.43;4.15;6.18;6.11
Mato Grosso;0.79;3.83;2.29;2.35;3.11;3.53;6.29;10.8
Goiás;0.37;2.61;2.02;1.85;1.66;2.94;4.17;4.72
