;total;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade
;total;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               brasil;0.69;1.12;0.91;0.91;0.84;1.19;1.33;1.67
urbana;0.86;1.23;1.11;1.18;0.99;1.32;1.58;1.82
rural;3.25;3.76;3.77;3.47;3.39;3.84;3.82;4.26
norte;3.48;3.83;3.76;3.7;3.76;5.24;5.71;6.64
rondônia;3.32;6.85;5.26;4.76;3.32;6.54;6.76;10.7
acre;10.77;10.31;14.15;11.81;11.71;15.6;14.35;17.17
amazonas;4.42;4.81;5.78;4.76;5.24;7.89;9.58;9.98
roraima;4.76;7.24;9.17;7.55;6.88;11.27;19.35;22.03
pará;8.71;8.6;8.95;8.96;9.79;12.8;12.55;14.49
amapá;8.66;14.89;9.87;8.59;9.98;13.31;23.01;23.8
tocantins;3.4;6.22;4.78;4.44;5.3;11.28;11.2;10.48
nordeste;1.65;2.49;1.92;1.77;2.0;2.49;2.61;3.04
maranhão;7.39;12.21;8.05;6.54;9.85;7.89;11.46;8.36
piauí;5.9;7.1;9.27;6.91;6.13;9.85;6.84;10.48
ceará;4.11;5.48;4.45;5.42;3.73;6.37;5.79;6.7
rio grande do norte;9.23;7.49;9.65;9.29;11.64;15.05;15.53;7.55
paraíba;5.59;6.41;8.11;7.47;7.62;7.51;11.01;11.86
pernambuco;2.84;5.08;2.93;3.65;3.39;5.08;3.64;6.55
alagoas;8.57;9.02;10.2;6.76;10.26;10.27;7.9;14.24
sergipe;5.92;7.23;8.16;5.99;8.0;7.37;9.89;7.75
bahia;2.74;4.55;2.71;2.74;3.52;5.02;5.39;6.92
sudeste;0.95;1.64;1.4;1.52;1.26;1.84;2.17;2.7
minas gerais;1.89;2.79;2.34;2.38;2.39;3.29;3.32;4.67
espírito santo;4.04;5.71;5.58;4.28;5.11;7.11;9.17;12.2
rio de janeiro;2.34;3.49;3.21;3.1;3.3;3.75;4.42;5.15
são paulo;1.3;2.57;2.14;2.41;1.75;2.85;3.56;4.26
sul;1.39;2.29;1.93;2.0;1.62;2.74;2.76;3.83
paraná;2.18;4.06;3.08;3.51;2.7;4.18;4.69;6.71
santa catarina;3.73;5.26;4.93;3.94;3.72;5.76;5.61;10.61
rio grande do sul;1.69;2.98;2.4;3.09;2.26;4.51;4.26;4.54
centro-oeste;1.41;2.59;2.29;1.94;1.99;2.78;3.78;4.9
mato grosso do sul;3.06;6.03;4.63;4.06;3.89;5.07;8.83;6.94
mato grosso;2.86;5.49;4.97;4.0;4.96;7.2;9.78;15.11
goiás;2.19;3.9;3.74;3.21;2.99;4.13;5.12;7.15
