;coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras (%);coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que se sentiam seguras (%);coeficientes de variação das estimativas de percentual de pessoas que  se sentiam seguras no seu domícilio, na população de 10 anos ou mais de idade (%);coeficientes de variação das estimativas de percentual de pessoas que  se sentiam seguras no seu bairro, na população de 10 anos ou mais de idade (%);coeficientes de variação das estimativas de percentual de pessoas que  se sentiam seguras na sua cidade, na população de 10 anos ou mais de idade (%)
;no seu domicílio;no seu bairro;na sua cidade;unnamed: 4_level_1;unnamed: 5_level_1;unnamed: 6_level_1
               brasil;0.32;0.46;0.69;0.29;0.45;0.69
situação do domicílio;;;;;;
urbana;0.63;0.72;0.86;0.31;0.47;0.7
rural;2.84;2.88;3.25;0.69;1.08;1.49
grandes regiões e unidades da federação;;;;;;
norte;1.88;2.71;3.48;1.77;2.64;3.4
rondônia;1.86;2.6;3.32;1.39;2.06;2.8
acre;4.32;4.68;10.77;4.85;5.24;11.46
amazonas;2.51;3.27;4.42;2.28;3.11;4.28
roraima;3.04;3.45;4.76;2.57;3.07;4.38
pará;4.0;6.41;8.71;3.81;6.28;8.56
amapá;3.83;7.42;8.66;3.69;7.45;8.76
tocantins;2.62;3.47;3.4;2.29;3.22;3.13
nordeste;0.63;1.0;1.65;0.57;0.98;1.67
maranhão;2.41;3.52;7.39;1.85;3.53;8.0
piauí;1.96;2.71;5.9;1.77;2.65;5.66
ceará;0.97;1.78;4.11;0.91;1.76;4.07
rio grande do norte;4.19;6.87;9.23;3.93;6.6;9.05
paraíba;2.59;4.74;5.59;2.49;5.2;5.58
pernambuco;1.34;1.9;2.84;1.16;1.77;2.76
alagoas;3.17;4.94;8.57;2.83;4.7;8.57
sergipe;3.16;4.9;5.92;2.47;4.32;5.55
bahia;1.14;1.88;2.74;1.09;1.83;2.72
sudeste;0.49;0.66;0.95;0.45;0.63;0.94
minas gerais;1.0;1.35;1.89;0.95;1.3;1.87
espírito santo;1.96;2.68;4.04;1.74;2.41;3.82
rio de janeiro;1.24;1.8;2.34;1.14;1.73;2.27
são paulo;0.65;0.84;1.3;0.58;0.81;1.3
sul;0.56;0.81;1.39;0.51;0.78;1.37
paraná;0.93;1.36;2.18;0.85;1.31;2.2
santa catarina;1.41;1.85;3.73;1.34;1.79;3.68
rio grande do sul;0.74;1.19;1.69;0.64;1.1;1.64
centro-oeste;0.86;1.16;1.41;0.81;1.13;1.41
mato grosso do sul;1.65;2.06;3.06;1.71;2.08;3.21
mato grosso;2.52;2.7;2.86;2.18;2.44;2.78
goiás;1.24;1.8;2.19;1.21;1.79;2.21
distrito federal;1.68;3.15;3.77;1.59;3.12;3.73
fonte: ibge, diretoria de pesquisas, coordenação de trabalho e rendimento, pesquisa nacional por amostra de domicílios 2009.;;;;;;
