;unnamed: 1_level_0;agrícola;indústria;construção;comércio e reparação;serviços
;0.0;2.5291100916124356;1.2950556228082026;1.3488822528201583;0.9220205440535659;0.6032154808268898
Situação do domicílio;;;;;;
urbana;0.0;3.18;1.25;1.34;0.75;0.44
rural;0.0;1.65;6.07;5.81;5.33;3.22
grandes regiões e unidades da federação;;;;;;
norte;0.0;6.44;3.46;4.34;2.06;1.58
rondônia;0.0;7.95;12.48;7.9;4.85;5.24
acre;0.0;10.78;11.55;11.89;7.75;3.41
amazonas;0.0;5.4;4.19;5.95;4.35;2.09
roraima;0.0;8.46;14.78;16.28;5.97;4.87
pará;0.0;13.48;5.82;8.66;3.22;2.86
amapá;0.0;43.28;9.68;8.72;10.46;3.46
tocantins;0.0;12.23;9.34;9.12;7.09;5.3
nordeste;0.0;3.76;3.27;2.63;2.27;1.54
maranhão;0.0;16.73;17.85;8.68;11.7;7.92
piauí;0.0;11.99;10.3;11.24;11.25;8.99
ceará;0.0;8.1;4.86;5.11;3.88;2.87
rio grande do norte;0.0;9.91;9.33;9.28;7.76;2.64
paraíba;0.0;9.48;8.67;10.71;7.51;5.45
pernambuco;0.0;10.45;9.59;6.77;4.77;3.02
alagoas;0.0;8.7;16.15;11.3;8.08;4.85
sergipe;0.0;17.3;17.54;10.02;5.8;5.77
bahia;0.0;6.12;7.56;5.02;3.74;2.9
sudeste;0.0;5.49;1.91;2.23;1.32;0.74
minas gerais;0.0;6.45;4.48;3.68;2.96;1.68
espírito santo;0.0;16.07;8.57;9.89;5.5;4.18
rio de janeiro;0.0;19.33;2.9;4.26;2.26;0.98
são paulo;0.0;12.35;2.53;3.6;1.88;1.11
sul;0.0;6.81;2.65;3.05;2.31;2.01
paraná;0.0;9.4;3.84;4.27;3.23;2.04
santa catarina;0.0;20.38;4.78;7.72;6.15;6.91
rio grande do sul;0.0;8.87;4.85;4.97;3.35;2.82
centro-oeste;0.0;6.22;3.85;3.64;2.41;1.35
mato grosso do sul;0.0;10.23;12.02;8.07;5.97;3.93
mato grosso;0.0;8.16;10.9;10.38;6.55;2.55
goiás;0.0;11.41;4.12;5.22;3.38;2.5
distrito federal;0.0;38.45;6.8;7.18;3.98;1.56
