;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;0.46;1.63;0.75;1.07;1.04;0.87;1.76;1.92
Situação do domicílio;;;;;;;;
Urbana;0.72;1.73;0.95;1.23;1.23;1.01;1.86;2.0
Rural;2.88;3.89;2.93;4.09;4.06;4.05;7.34;7.21
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;2.71;5.39;3.2;4.21;4.92;2.97;4.79;5.05
Rondônia;2.6;7.36;3.91;7.89;7.57;4.86;12.09;11.43
Acre;4.68;8.16;6.87;7.65;11.57;8.62;13.82;15.86
Amazonas;3.27;14.0;3.39;6.74;7.4;4.86;10.27;11.23
Roraima;3.45;9.81;5.54;11.98;12.44;8.82;16.36;18.93
Pará;6.41;9.93;6.77;9.14;11.1;7.09;9.72;11.54
Amapá;7.42;13.11;14.43;8.3;14.33;9.21;17.61;17.61
Tocantins;3.47;9.64;5.3;7.59;7.08;5.07;11.84;9.44
Nordeste;1.0;2.74;1.58;2.44;2.04;2.36;4.0;4.29
Maranhão;3.52;10.64;7.94;12.52;8.02;12.7;16.51;21.64
Piauí;2.71;12.04;4.83;10.35;9.27;12.73;15.36;19.53
Ceará;1.78;5.5;2.92;3.76;3.61;4.62;9.14;9.68
Rio Grande do Norte;6.87;11.53;5.87;12.4;11.47;10.95;18.82;13.89
Paraíba;4.74;13.42;5.83;4.49;8.14;7.31;17.31;18.25
Pernambuco;1.9;4.0;3.0;4.42;5.58;4.17;7.0;7.08
Alagoas;4.94;5.91;7.85;7.55;9.32;8.39;17.8;17.54
Sergipe;4.9;9.0;4.59;7.53;11.08;10.03;15.07;15.02
Bahia;1.88;5.43;2.58;4.03;3.06;3.4;8.19;7.47
Sudeste;0.66;2.42;1.14;1.65;1.69;1.21;2.78;2.89
Minas Gerais;1.35;4.72;2.11;2.85;3.46;2.32;5.1;4.83
Espírito Santo;2.68;7.2;3.57;5.36;5.38;6.62;12.55;9.73
Rio de Janeiro;1.8;4.94;2.44;3.63;3.62;2.52;5.55;5.19
São Paulo;0.84;3.61;1.75;2.5;2.41;1.71;4.06;4.33
Sul;0.81;4.92;1.56;2.13;2.04;1.87;3.94;4.15
Paraná;1.36;7.46;2.7;3.65;3.84;2.56;5.88;7.12
Santa Catarina;1.85;9.96;4.53;4.76;3.69;4.73;9.58;9.16
Rio Grande do Sul;1.19;8.59;1.78;2.97;2.99;2.73;5.49;5.42
Centro-Oeste;1.16;3.98;1.79;2.75;2.72;2.1;4.2;4.72
Mato Grosso do Sul;2.06;4.9;5.0;5.17;7.24;5.07;10.89;11.88
Mato Grosso;2.7;10.83;3.64;7.66;6.16;4.31;10.15;12.56
Goiás;1.8;5.41;2.34;3.96;3.68;3.19;6.46;7.61
Distrito Federal;3.15;8.79;4.71;6.3;6.44;5.05;7.95;8.22
