;unnamed: 1_level_0;economicamente ativas;economicamente ativas;economicamente ativas;não economicamente ativas
;unnamed: 1_level_1;total;condição de ocupação na semana de referência;condição de ocupação na semana de referência.1;unnamed: 5_level_1
               brasil;0.4465775273781689;0.4480560461988144;0.4514784175949677;0.8396253714506348;0.515924036815529
situação do domicílio;;;;;
urbana;0.46873924527215827;0.4700516746658617;0.473393694239228;0.871905471998087;0.5469051377379158
rural;1.0813911903230178;1.050134335518183;1.015834425834278;3.6728564234042618;1.237668804895533
grandes regiões e unidades da federação;;;;;
norte;2.6384591891576434;2.42690391504089;2.414291078899936;3.6756474946765976;3.1685299833237295
rondônia;2.059153936930237;2.164826765507693;2.2296977930654975;5.805843548439388;2.7861471046323256
acre;5.236022415491823;5.041205884434256;5.0039778908810995;7.531325178676856;5.829928040706011
amazonas;3.10828400189295;2.7677753180047895;2.7908077680773533;6.342792655339087;3.9508436078371094
roraima;3.071036801745334;3.1634150123794638;2.860396056612831;9.575785362100943;3.6692803551058315
pará;6.284108549066275;6.123234024921549;6.15800470232078;7.531983743800699;6.91799307739348
amapá;7.454700743998893;7.061626587186446;7.317883724416852;7.749370795304234;8.052198484655307
tocantins;3.2223102686234357;3.355979780230149;3.1370615194630647;7.73666554903888;3.1709133233699336
nordeste;0.9840868883682601;1.0034129663182374;1.0129118447339753;1.7106409365707134;1.0786073913449592
maranhão;3.533772020753016;3.300552615780291;3.3536266471705067;7.35577397526854;4.254628646278282
piauí;2.652938764620959;2.803609035140984;2.784254022742194;5.7737464506144205;2.7800061353296295
ceará;1.7613277813144024;1.9194342187892157;1.981193255073825;3.235981599639488;1.9460915290332776
rio grande do norte;6.601750688781387;7.130298762554932;7.100540847306018;9.900156927028611;6.090307622318353
paraíba;5.203863662628457;5.964023862553388;6.195236353902811;6.88053580536167;4.68798333090813
pernambuco;1.7654507893162525;2.147189815238218;2.0596703222248665;3.335067887137343;1.5762504149612386
alagoas;4.702704394541152;4.4024109312383;4.416189812891641;8.117490176420741;5.1990699570914645
sergipe;4.31993516394769;4.824639928454059;4.35997320863754;11.478076424810903;3.8673260064933004
bahia;1.826718136451686;1.764930548765878;1.8135925832194315;2.8185146960419716;2.092577786501869
sudeste;0.6335089204839291;0.6658365828877231;0.6723178449657666;1.2457719029319154;0.7016538216189184
minas gerais;1.3026126084228569;1.362957726510637;1.3578176500846728;2.42009807003344;1.381636013224315
espírito santo;2.407315699702987;2.719321159263024;2.765653817343363;5.222006481387144;2.494458320581849
rio de janeiro;1.7287340879315922;1.8186765123567914;1.8212468307490026;2.9423256647993523;1.7791770436578282
são paulo;0.8083966146204127;0.8594923990378679;0.8771567362712938;1.7211787010318462;0.938995255360828
sul;0.7751994606129915;0.7919729533117065;0.8208041909692768;1.7085782387482018;0.9255403655396442
paraná;1.3051924278168439;1.3514338407301434;1.3800917334389111;3.4062945484356684;1.5515350198944444
santa catarina;1.7941016157858984;1.8377850403738605;1.9299896848218632;3.280965645694612;1.9734661445719082
rio grande do sul;1.101374934961899;1.067450273583006;1.0872449135861024;2.2921587161297623;1.4355425909784123
centro-oeste;1.130351956018701;1.1756385806336103;1.167841348698784;2.369585492966;1.3248598274908225
mato grosso do sul;2.0800769871456617;2.090591194066537;2.133677648907387;4.137615591958586;2.531239608395113
mato grosso;2.4373570086336027;2.6157826950602003;2.6469583614459755;5.800508755901873;2.6921150505406812
goiás;1.790357826237758;1.896346767435824;1.8606774742875667;3.883622671722543;2.079500970970706
