;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.572439351099873;0.6621164313501604;1.4572573846621149;1.1569140610900415;2.18458128388158;3.1714075988120336
Situação do domicílio;;;;;;
Urbana;0.77;0.84;1.6;1.21;2.35;2.77
Rural;2.98;3.43;4.93;4.05;7.34;4.28
Grandes Regiões e Unidades da Federação;;;;;;
Norte;3.11;3.37;5.62;3.69;8.26;7.45
Rondônia;4.28;4.37;8.38;5.11;14.79;15.87
Acre;6.59;5.22;18.39;11.29;20.46;16.56
Amazonas;2.61;3.73;8.15;5.97;15.24;9.27
Roraima;4.1;7.68;21.53;9.08;25.75;21.77
Pará;7.66;8.69;13.46;7.19;15.67;16.12
Amapá;5.67;8.11;11.7;16.28;23.93;15.68
Tocantins;4.31;3.54;7.01;9.43;12.9;17.41
Nordeste;1.3;1.73;2.93;2.56;5.27;5.3
Maranhão;4.19;9.79;12.31;10.09;21.7;20.2
Piauí;4.05;4.55;12.23;5.87;18.04;13.31
Ceará;2.4;3.94;5.38;5.47;11.84;9.88
Rio Grande do Norte;9.29;8.82;14.26;9.85;16.78;22.85
Paraíba;5.17;4.95;9.95;8.33;20.26;12.39
Pernambuco;3.73;3.05;5.68;5.77;12.2;16.51
Alagoas;5.55;4.75;15.85;12.03;20.99;11.58
Sergipe;5.17;6.64;12.36;5.1;19.88;15.18
Bahia;2.27;3.05;5.88;5.3;9.47;10.68
Sudeste;0.8;0.89;2.29;1.64;3.43;5.43
Minas Gerais;1.56;1.63;3.33;2.64;5.27;7.33
Espírito Santo;3.86;3.76;8.32;6.67;15.57;20.98
Rio de Janeiro;1.99;2.2;4.71;3.19;6.55;12.91
São Paulo;1.1;1.25;3.75;2.69;5.59;8.4
Sul;1.18;1.54;3.22;2.53;4.47;7.66
Paraná;1.74;2.43;4.53;4.23;7.77;10.44
Santa Catarina;3.27;3.27;9.43;6.53;9.06;22.43
Rio Grande do Sul;1.46;2.44;4.84;3.36;6.74;10.17
Centro-Oeste;1.55;1.6;4.16;2.99;5.99;9.61
Mato Grosso do Sul;2.58;2.98;6.83;5.09;11.17;18.34
Mato Grosso;3.95;4.51;11.35;8.48;14.09;13.82
Goiás;2.45;2.3;6.34;4.25;9.8;17.42
