;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;total;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.69;1.91;0.99;1.26;1.23;1.02;2.0;2.08
urbana;0.86;2.03;1.11;1.41;1.39;1.18;2.11;2.18
rural;3.25;4.28;3.35;4.4;4.48;4.16;8.24;7.33
norte;3.48;6.18;4.03;4.72;5.52;3.45;5.73;5.4
rondônia;3.32;6.83;4.55;9.27;8.52;4.67;12.41;13.36
acre;10.77;14.12;13.84;8.64;19.59;12.54;19.41;18.15
amazonas;4.42;14.22;4.11;7.44;8.96;5.6;13.71;10.2
roraima;4.76;10.45;6.81;13.77;13.76;8.96;17.33;21.0
pará;8.71;12.08;9.19;11.08;13.18;9.14;14.65;14.32
amapá;8.66;13.0;14.91;9.75;15.22;10.19;19.34;16.81
tocantins;3.4;8.96;5.82;7.23;5.74;5.15;10.41;9.09
nordeste;1.65;3.28;2.25;3.12;2.56;2.6;4.72;4.75
maranhão;7.39;14.41;12.26;17.24;9.35;13.31;23.2;22.46
piauí;5.9;13.72;6.54;10.18;9.2;12.22;15.28;21.08
ceará;4.11;7.63;4.92;5.69;4.89;6.76;14.14;12.03
rio grande do norte;9.23;14.64;7.62;14.4;12.07;14.26;20.3;17.74
paraíba;5.59;11.34;6.86;6.66;13.49;5.39;13.49;14.24
pernambuco;2.84;4.55;4.06;4.89;7.34;5.24;9.65;8.37
alagoas;8.57;5.92;12.05;11.87;12.41;9.94;20.62;15.18
sergipe;5.92;10.11;5.58;9.43;10.86;9.81;13.87;18.18
bahia;2.74;6.49;3.4;4.66;3.49;3.87;9.13;8.82
sudeste;0.95;2.76;1.43;1.94;2.0;1.52;3.21;3.2
minas gerais;1.89;5.16;2.52;3.27;3.94;3.14;5.7;4.94
espírito santo;4.04;8.86;5.06;5.09;7.06;7.42;13.86;11.2
rio de janeiro;2.34;5.4;2.93;4.57;4.63;3.12;6.93;5.92
são paulo;1.3;4.16;2.27;2.93;2.8;2.11;4.65;4.89
sul;1.39;5.24;2.11;2.55;2.39;2.22;4.3;4.34
paraná;2.18;7.93;3.66;4.4;4.24;2.82;6.9;7.7
santa catarina;3.73;9.12;6.02;5.96;5.06;5.56;10.04;8.67
rio grande do sul;1.69;9.77;2.39;3.25;3.48;3.24;5.74;6.08
centro-oeste;1.41;4.38;2.13;2.88;2.94;2.17;4.33;4.99
mato grosso do sul;3.06;6.35;6.67;4.87;8.13;4.64;11.07;12.65
mato grosso;2.86;10.51;3.84;8.4;5.59;4.78;9.47;14.7
goiás;2.19;6.41;2.67;3.98;4.34;3.34;6.67;7.68
distrito federal;3.77;10.05;5.73;7.32;7.7;5.34;8.76;8.53
