;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;0.81;0.82;1.67;1.47;2.48;3.6
urbana;0.93;1.01;1.84;1.41;2.67;3.17
rural;3.32;3.65;5.3;4.39;7.83;4.73
norte;3.86;4.13;6.14;4.59;9.84;8.04
rondônia;5.63;4.68;9.12;6.98;16.8;18.53
acre;12.56;11.82;19.97;15.98;24.03;24.58
amazonas;3.73;4.77;7.36;7.75;16.99;10.22
roraima;4.83;7.84;23.71;9.43;24.42;22.72
pará;10.05;11.42;16.36;9.45;19.41;17.75
amapá;6.27;9.16;12.16;16.26;27.41;14.42
tocantins;4.41;2.67;8.18;9.27;12.95;17.88
nordeste;1.98;1.99;3.27;3.44;6.15;6.27
maranhão;8.54;8.71;12.95;16.11;27.03;26.2
piauí;7.26;8.8;13.55;7.21;17.03;15.4
ceará;4.46;5.04;6.07;8.03;13.99;12.01
rio grande do norte;11.95;12.23;14.16;12.6;19.87;25.37
paraíba;5.7;4.97;7.77;8.63;17.8;14.92
pernambuco;5.01;4.03;6.83;6.67;14.55;18.15
alagoas;8.5;7.01;15.83;17.77;24.32;10.39
sergipe;7.15;8.29;16.29;8.09;22.81;17.69
bahia;3.16;3.53;6.98;6.88;10.9;12.12
sudeste;1.08;1.17;2.75;1.93;3.94;5.97
minas gerais;2.05;2.19;3.96;2.89;5.48;7.87
espírito santo;5.47;4.45;9.5;8.94;17.77;23.6
rio de janeiro;2.5;2.81;5.41;3.83;8.24;13.33
são paulo;1.52;1.67;4.64;3.24;6.61;7.95
sul;1.84;1.91;3.26;3.06;5.09;8.28
paraná;2.65;3.03;4.99;4.69;8.9;11.1
santa catarina;5.23;3.97;7.35;8.51;9.48;23.69
rio grande do sul;2.06;3.04;5.26;3.98;8.07;11.14
centro-oeste;1.81;1.83;4.63;3.2;5.96;9.41
mato grosso do sul;3.33;3.83;6.34;5.93;10.04;18.14
mato grosso;4.67;4.6;12.18;8.55;14.02;13.56
goiás;2.76;2.74;7.36;4.43;10.29;17.12
