;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.31;0.36;1.82;0.49
urbana;0.0;0.3;0.34;1.71;0.46
rural;0.0;0.87;0.92;6.6;1.65
norte;0.0;1.26;1.36;4.64;1.87
rondônia;0.0;2.88;3.14;11.41;5.49
acre;0.0;2.57;3.03;18.6;4.54
amazonas;0.0;2.87;2.49;12.06;3.66
roraima;0.0;2.3;2.31;11.64;3.37
pará;0.0;2.51;2.97;7.19;3.44
amapá;0.0;5.56;5.32;14.73;6.72
tocantins;0.0;1.41;1.63;10.43;2.84
nordeste;0.0;0.76;0.86;3.83;1.06
maranhão;0.0;3.33;3.48;23.14;3.93
piauí;0.0;2.38;2.53;14.92;4.24
ceará;0.0;1.36;1.48;8.29;2.13
rio grande do norte;0.0;2.92;3.51;15.05;4.15
paraíba;0.0;1.4;1.73;16.98;1.48
pernambuco;0.0;2.17;2.83;7.32;2.61
alagoas;0.0;1.79;1.96;12.22;1.84
sergipe;0.0;2.63;2.96;10.87;3.91
bahia;0.0;1.46;1.66;6.7;2.35
sudeste;0.0;0.41;0.49;2.83;0.65
minas gerais;0.0;0.63;0.79;5.83;1.13
espírito santo;0.0;1.83;2.57;14.68;3.32
rio de janeiro;0.0;0.94;0.98;4.82;1.21
são paulo;0.0;0.62;0.76;4.13;1.0
sul;0.0;0.65;0.79;4.25;1.22
paraná;0.0;1.03;1.17;6.1;1.76
santa catarina;0.0;1.44;1.89;10.35;3.05
rio grande do sul;0.0;0.92;1.08;6.6;1.77
centro-oeste;0.0;0.94;1.02;4.3;1.74
mato grosso do sul;0.0;1.56;1.6;9.29;2.91
mato grosso;0.0;2.57;2.59;11.92;4.87
goiás;0.0;1.48;1.66;6.87;2.71
