;total;agrícola;indústria;construção;comércio e reparação;serviços
               brasil;0.57;2.86;1.56;1.5;1.14;0.81
urbana;0.77;3.52;1.74;1.66;1.24;0.93
rural;2.98;3.56;7.01;5.77;5.62;3.87
norte;3.11;7.47;6.23;3.93;3.7;3.46
rondônia;4.28;11.03;14.86;7.41;4.99;6.35
acre;6.59;16.28;14.45;10.35;12.68;9.11
amazonas;2.61;5.45;6.31;7.27;5.9;4.11
roraima;4.1;6.09;17.99;15.63;9.14;8.34
pará;7.66;17.45;12.17;8.75;7.63;9.02
amapá;5.67;40.49;14.46;15.45;14.74;7.04
tocantins;4.31;15.9;8.6;7.8;7.14;4.32
nordeste;1.3;4.51;3.56;3.0;2.71;1.83
maranhão;4.19;18.62;22.01;11.2;13.77;8.16
piauí;4.05;13.94;9.26;12.29;9.89;8.2
ceará;2.4;9.7;5.7;7.13;5.42;3.66
rio grande do norte;9.29;19.51;12.49;8.11;13.12;8.54
paraíba;5.17;14.02;11.36;12.24;8.89;7.78
pernambuco;3.73;13.24;8.51;8.14;6.09;3.61
alagoas;5.55;10.88;17.12;9.73;9.85;9.07
sergipe;5.17;14.31;18.84;12.1;7.63;9.55
bahia;2.27;7.42;7.86;4.95;4.23;3.04
sudeste;0.8;5.87;2.34;2.41;1.71;1.14
minas gerais;1.56;7.3;5.27;3.77;3.33;2.01
espírito santo;3.86;18.46;11.44;11.27;6.64;5.18
rio de janeiro;1.99;19.25;4.11;5.02;3.41;2.3
são paulo;1.1;12.6;3.11;3.87;2.5;1.73
sul;1.18;7.42;3.15;3.42;2.59;2.24
paraná;1.74;10.18;4.89;5.27;3.97;2.87
santa catarina;3.27;20.98;5.3;7.95;6.23;6.44
rio grande do sul;1.46;10.29;5.7;5.34;3.62;3.15
centro-oeste;1.55;7.4;4.76;4.55;3.05;2.02
mato grosso do sul;2.58;12.21;13.7;7.33;7.23;4.76
mato grosso;3.95;11.59;12.77;15.42;8.08;5.36
goiás;2.45;13.08;5.12;6.14;4.24;3.01
distrito federal;3.27;41.18;8.93;9.0;6.0;4.09
