;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;1.49;1.68;4.0;2.44;4.22;6.27
urbana;1.58;1.74;4.24;2.65;4.33;6.84
rural;6.0;9.02;19.64;7.3;17.02;11.32
norte;4.77;5.37;8.94;7.31;9.75;13.81
rondônia;10.38;10.95;22.67;16.57;23.09;26.47
acre;19.25;18.09;46.95;23.61;38.16;29.61
amazonas;11.19;13.71;29.38;14.74;32.0;34.29
roraima;13.34;15.59;35.99;23.35;51.57;95.05
pará;6.98;7.86;12.13;10.49;14.16;20.6
amapá;19.01;20.67;35.94;28.09;36.94;100.7
tocantins;16.33;23.42;30.54;23.89;27.05;22.49
nordeste;2.79;3.09;6.84;4.48;8.65;11.23
maranhão;13.44;15.78;24.02;19.28;35.89;43.74
piauí;15.24;19.08;55.2;17.74;39.71;32.16
ceará;5.0;5.81;12.28;8.07;14.54;19.34
rio grande do norte;8.73;9.79;22.76;17.55;34.92;29.43
paraíba;9.63;11.64;21.16;13.91;38.58;38.89
pernambuco;6.27;6.84;16.11;10.95;20.8;21.82
alagoas;13.18;16.56;48.79;24.14;52.87;43.29
sergipe;9.34;8.8;26.88;20.08;29.03;51.28
bahia;5.56;6.11;12.2;8.26;13.91;21.4
sudeste;2.63;2.85;7.92;4.49;7.73;13.51
minas gerais;5.47;6.12;16.67;7.55;12.51;18.17
espírito santo;9.69;9.68;33.05;17.57;34.46;47.72
rio de janeiro;4.76;5.27;14.45;8.25;15.23;33.04
são paulo;3.81;4.06;11.53;6.97;11.88;24.55
sul;3.35;4.19;9.58;5.24;8.18;13.17
paraná;4.83;5.94;16.22;8.18;13.59;20.67
santa catarina;10.97;13.35;26.21;12.65;19.19;24.17
rio grande do sul;4.56;6.05;12.47;8.08;10.13;21.72
centro-oeste;3.5;4.04;9.92;6.47;10.42;14.3
mato grosso do sul;14.93;14.66;30.75;21.55;25.73;58.55
mato grosso;7.03;7.95;25.56;14.48;24.86;22.93
goiás;5.22;6.49;14.09;8.9;15.87;20.86
