;total;classes de rendimento mensal domiciliar per capita (salário mínimo);classes de rendimento mensal domiciliar per capita (salário mínimo).1;classes de rendimento mensal domiciliar per capita (salário mínimo).2;classes de rendimento mensal domiciliar per capita (salário mínimo).3;classes de rendimento mensal domiciliar per capita (salário mínimo).4;classes de rendimento mensal domiciliar per capita (salário mínimo).5
               brasil;1.45;4.73;3.05;2.26;2.14;2.61;9.57
urbana;1.53;5.1;3.25;2.39;2.21;2.67;10.42
rural;6.04;11.14;9.8;8.4;8.76;11.75;22.91
norte;4.98;12.52;7.77;6.15;5.33;6.77;24.2
rondônia;9.24;32.55;18.75;11.39;12.5;16.75;43.52
acre;16.45;34.98;31.88;21.38;21.76;18.78;50.59
amazonas;11.72;25.4;22.93;15.86;14.79;18.87;51.85
roraima;11.37;35.09;25.77;20.81;19.62;24.81;95.05
pará;7.68;17.56;10.64;9.18;7.86;10.98;39.33
amapá;16.65;36.27;24.56;21.42;24.49;29.17;69.8
tocantins;13.46;22.78;27.04;14.75;16.69;17.99;
nordeste;2.72;6.37;4.83;3.9;4.45;5.4;15.09
maranhão;15.28;28.39;25.17;19.86;18.26;20.61;34.85
piauí;14.68;30.76;30.7;21.25;18.86;28.78;100.08
ceará;4.56;9.95;8.32;7.44;7.4;10.24;45.93
rio grande do norte;7.4;30.22;18.15;11.96;16.44;22.78;57.72
paraíba;9.85;22.75;14.69;16.98;18.07;31.24;70.84
pernambuco;5.39;12.48;9.62;8.42;9.4;12.19;28.71
alagoas;13.17;28.23;18.22;20.81;26.9;31.71;57.71
sergipe;7.52;29.33;13.28;11.96;12.42;20.1;98.82
bahia;5.28;12.87;8.4;7.56;8.94;9.04;28.78
sudeste;2.53;12.28;6.51;4.45;3.68;4.19;18.73
minas gerais;4.67;21.46;11.04;7.84;6.03;7.43;36.62
espírito santo;8.88;30.26;19.72;15.08;14.45;17.19;70.61
rio de janeiro;4.49;28.9;13.97;8.39;7.12;7.49;35.07
são paulo;3.77;18.47;10.34;7.01;5.38;6.04;27.42
sul;3.32;15.77;9.19;5.74;4.77;5.21;24.69
paraná;4.5;24.73;14.46;8.07;7.0;8.22;36.86
santa catarina;11.49;52.2;29.08;15.5;14.51;14.11;69.59
rio grande do sul;4.74;21.83;12.73;9.52;6.52;6.84;35.01
centro-oeste;3.39;15.74;7.76;5.56;5.19;5.95;23.78
mato grosso do sul;15.77;47.76;23.71;15.02;19.48;18.04;76.18
mato grosso;6.64;35.18;22.82;12.52;10.36;13.41;60.62
goiás;5.05;21.95;10.13;8.36;7.6;10.35;37.12
distrito federal;5.57;27.0;16.23;11.19;10.4;9.32;36.32
