;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;0.0;0.49;0.57;2.98;1.54
urbana;0.0;0.51;0.59;3.03;1.57
rural;0.0;1.46;1.71;20.45;7.03
norte;0.0;1.19;1.54;7.95;3.78
rondônia;0.0;3.19;3.97;22.69;8.7
acre;0.0;5.6;6.03;34.13;13.69
amazonas;0.0;3.5;4.18;17.58;9.69
roraima;0.0;4.53;6.07;23.19;11.23
pará;0.0;1.68;2.22;11.34;5.85
amapá;0.0;5.14;5.87;22.29;14.58
tocantins;0.0;3.14;4.57;29.83;12.68
nordeste;0.0;0.85;1.04;4.55;2.48
maranhão;0.0;3.8;4.72;16.37;10.01
piauí;0.0;5.05;4.96;28.8;15.94
ceará;0.0;1.4;1.61;8.45;4.46
rio grande do norte;0.0;3.04;4.29;14.55;9.23
paraíba;0.0;3.93;4.02;26.16;9.14
pernambuco;0.0;2.31;2.92;9.81;5.23
alagoas;0.0;3.61;4.51;28.36;9.97
sergipe;0.0;3.09;4.64;15.93;6.89
bahia;0.0;1.39;1.78;9.0;5.2
sudeste;0.0;0.89;1.03;5.63;2.92
minas gerais;0.0;1.59;2.0;10.27;5.79
espírito santo;0.0;2.83;3.74;24.11;12.44
rio de janeiro;0.0;1.9;2.04;13.47;5.31
são paulo;0.0;1.28;1.47;7.68;4.23
sul;0.0;1.21;1.31;8.43;3.88
paraná;0.0;1.77;1.94;12.93;5.64
santa catarina;0.0;3.82;4.14;33.91;12.16
rio grande do sul;0.0;1.7;1.79;11.32;5.52
centro-oeste;0.0;1.2;1.4;7.3;3.96
mato grosso do sul;0.0;3.48;4.65;23.96;12.1
mato grosso;0.0;2.88;3.23;24.31;8.29
goiás;0.0;1.76;2.07;10.21;6.88
