;total;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos(ou mais);60 a 69 anos;70 anos ou mais
               brasil;1.45;3.94;2.1;2.04;1.97;2.67;3.69;4.37
urbana;1.53;4.06;2.21;2.1;2.06;2.82;3.78;4.56
rural;6.03;17.84;10.89;10.27;7.95;8.73;11.98;14.77
norte;4.97;9.38;6.55;6.42;5.89;7.09;9.91;14.29
rondônia;9.23;22.55;15.62;13.31;10.94;13.92;30.07;27.61
acre;16.39;28.02;22.01;15.83;21.94;25.14;35.4;29.52
amazonas;11.67;29.18;17.45;15.87;17.13;17.05;30.62;40.22
roraima;11.46;23.36;17.17;14.52;14.42;24.7;69.95;
pará;7.69;13.84;9.36;9.61;8.72;11.06;14.88;24.1
amapá;16.65;37.18;18.67;25.6;25.86;23.25;33.86;76.03
tocantins;13.44;25.42;24.64;22.35;13.83;24.56;19.6;37.93
nordeste;2.72;6.75;3.7;3.67;3.55;4.79;6.96;8.35
maranhão;15.26;29.59;17.37;16.75;18.68;25.81;35.06;24.91
piauí;14.58;43.31;22.72;27.42;18.73;23.67;28.31;33.95
ceará;4.62;12.47;7.12;6.52;5.33;9.38;14.16;21.4
rio grande do norte;7.33;25.27;9.73;10.55;12.08;18.62;30.23;25.15
paraíba;9.75;32.01;13.93;13.71;16.38;25.57;28.72;39.88
pernambuco;5.39;15.09;7.8;7.34;7.81;9.75;12.93;21.3
alagoas;13.17;40.82;16.46;17.77;18.9;26.11;38.21;47.07
sergipe;7.52;18.63;11.63;16.98;9.73;15.02;19.87;29.73
bahia;5.27;12.34;8.01;6.67;6.51;9.04;14.55;15.25
sudeste;2.53;8.04;3.91;3.59;3.6;4.64;6.29;7.12
minas gerais;4.66;14.96;8.07;7.34;6.28;9.4;10.54;12.37
espírito santo;8.94;29.73;14.04;12.44;12.21;22.36;26.03;32.8
rio de janeiro;4.48;16.46;7.98;6.87;6.3;8.94;12.28;14.56
são paulo;3.77;11.28;5.58;5.17;5.36;6.68;9.43;10.34
sul;3.32;9.26;4.78;4.97;4.44;6.18;7.6;10.01
paraná;4.5;13.32;7.31;6.78;6.97;9.87;11.61;15.96
santa catarina;11.47;22.54;12.47;16.54;12.02;19.55;23.02;21.94
rio grande do sul;4.74;14.73;7.3;7.59;5.98;6.74;10.53;15.66
centro-oeste;3.39;8.68;5.38;5.07;4.64;6.53;9.86;11.5
mato grosso do sul;15.62;35.49;22.03;18.34;18.54;21.32;28.61;34.9
mato grosso;6.64;16.72;12.85;9.73;10.42;16.72;22.85;30.32
goiás;5.08;14.31;7.9;8.05;6.96;9.1;14.59;15.81
