;total;empregados;trabalhadores domésticos;conta própria;empregadores;outra
               brasil;0.0;0.84;3.84;1.9;3.84;6.0
urbana;0.0;0.83;4.05;2.05;3.94;6.59
rural;0.0;5.77;18.47;5.4;16.28;9.86
norte;0.0;2.6;8.33;4.62;9.63;13.11
rondônia;0.0;6.01;19.26;12.34;21.29;21.07
acre;0.0;5.99;36.81;13.2;26.67;23.93
amazonas;0.0;7.91;25.14;12.17;27.16;32.05
roraima;0.0;7.11;30.02;21.26;49.73;95.45
pará;0.0;3.8;11.51;6.18;14.76;19.67
amapá;0.0;9.96;30.75;20.17;27.59;100.3
tocantins;0.0;10.56;35.52;16.78;26.9;26.56
nordeste;0.0;1.85;6.39;3.34;7.94;10.38
maranhão;0.0;11.56;20.8;13.06;31.91;38.88
piauí;0.0;8.87;55.14;14.27;31.61;31.43
ceará;0.0;3.02;11.32;6.47;14.46;17.68
rio grande do norte;0.0;6.28;23.66;14.61;30.91;26.48
paraíba;0.0;7.28;18.15;12.19;35.39;36.62
pernambuco;0.0;3.31;16.69;7.86;19.16;21.59
alagoas;0.0;10.87;50.4;20.04;46.95;40.88
sergipe;0.0;8.51;22.87;14.52;30.77;45.53
bahia;0.0;3.12;11.02;6.01;12.91;19.66
sudeste;0.0;1.34;7.69;3.61;6.88;13.04
minas gerais;0.0;2.7;15.6;5.81;10.7;17.19
espírito santo;0.0;5.09;32.06;15.29;29.75;44.76
rio de janeiro;0.0;2.48;13.59;6.88;14.02;32.49
são paulo;0.0;1.93;11.34;5.6;10.62;23.78
sul;0.0;1.96;9.3;4.56;7.49;12.9
paraná;0.0;2.97;15.79;7.23;12.24;20.92
santa catarina;0.0;4.11;25.62;10.88;16.15;21.71
rio grande do sul;0.0;3.28;11.98;6.89;10.27;21.14
centro-oeste;0.0;2.12;9.27;4.99;10.08;14.29
mato grosso do sul;0.0;6.34;27.57;11.22;24.05;52.47
mato grosso;0.0;4.28;23.94;11.97;23.26;23.82
goiás;0.0;3.5;13.22;6.82;15.73;20.96
