;total;economicamente ativas;condição de ocupação na semana de referência(ocupadas);condição de ocupação na semana de referência(desocupadascupadas);não economicamente ativas
               brasil;1.44;1.47;1.5;3.2;2.2
urbana;1.43;1.45;1.48;3.26;2.2
rural;5.48;5.66;5.61;20.16;8.92
norte;4.95;4.99;4.88;9.5;6.35
rondônia;8.78;9.14;9.67;22.4;12.14
acre;15.8;19.54;19.84;41.0;16.38
amazonas;11.6;11.81;11.51;22.1;16.12
roraima;11.47;11.91;12.66;20.89;16.79
pará;7.68;7.53;7.3;13.51;10.31
amapá;16.43;16.04;16.02;27.1;19.9
tocantins;13.7;15.77;17.01;27.25;13.07
nordeste;2.67;2.67;2.83;4.81;3.95
maranhão;14.84;11.72;12.25;19.26;23.26
piauí;14.53;15.35;15.42;31.17;20.54
ceará;4.57;4.82;5.12;9.09;6.71
rio grande do norte;7.23;8.58;9.41;14.13;11.19
paraíba;9.69;9.28;9.21;23.18;15.24
pernambuco;5.35;6.48;7.14;10.62;6.93
alagoas;12.77;12.21;11.85;33.96;17.38
sergipe;7.3;8.22;9.53;16.84;8.9
bahia;5.22;5.61;5.84;9.55;6.86
sudeste;2.51;2.59;2.63;6.03;3.93
minas gerais;4.69;5.29;5.46;10.66;6.42
espírito santo;8.84;9.28;9.79;23.05;15.21
rio de janeiro;4.45;4.62;4.63;13.77;7.11
são paulo;3.73;3.78;3.84;8.4;5.89
sul;3.3;3.27;3.39;8.56;5.56
paraná;4.46;4.67;4.79;12.7;7.3
santa catarina;11.39;11.09;11.25;36.26;18.54
rio grande do sul;4.76;4.4;4.63;11.2;8.54
centro-oeste;3.37;3.45;3.43;8.05;5.32
mato grosso do sul;15.46;15.6;14.8;32.07;19.98
mato grosso;6.52;6.7;6.64;25.18;11.19
goiás;5.08;5.15;5.18;11.25;8.8
