;total(1);sexo;sexo;cor ou raça;cor ou raça;cor ou raça;cor ou raça
;unnamed: 1_level_1;homens;mulheres;branca;preta/parda;preta;parda
               brasil;1.4402905750310053;1.5849138436803776;1.6770103101170244;1.8097317035125977;1.786218958076253;3.1679910202160144;1.8993334470753602
situação do domicílio;;;;;;;
urbana;1.4257079010844886;1.5885030242542009;1.6704742534681505;1.806940729440574;1.7336597939142477;3.1951722243818304;1.8459563096451703
rural;5.483976683518989;5.610688880152646;7.192125320109788;7.187600788483539;6.936886300722823;13.335237018958216;7.26825894372933
grandes regiões e unidades da federação;;;;;;;
norte;4.953623500589017;5.212628117226154;5.388356880345414;5.633549559601236;5.3933706082723205;7.780830960846042;5.67663314770075
rondônia;8.779108754518214;9.472454861100758;10.162342199606352;11.217899724537514;9.777449142550033;17.50373933858478;10.297602578353281
acre;15.796941369507893;17.132536635285355;16.386029149550886;18.852000320010678;15.487277112359603;22.254075185280893;16.630280402487205
amazonas;11.596098623790986;11.446840526435134;14.554970972997213;14.611940739743867;11.901829915994476;33.959110404151495;12.180983216603405
roraima;11.473147603809185;14.275892056501682;13.171906533494536;18.8598187994933;11.544052439217689;29.28414852815772;11.315066352149271
pará;7.678194976058522;7.995325217402709;8.26143209045254;8.818424479668197;8.261954240258046;10.914063866431727;8.625515863973032
amapá;16.42941918203106;18.93087140175888;16.577342896125227;17.81713899401842;18.05527741907842;24.309693179216403;18.09395005125346
tocantins;13.696230955549145;13.573991360732006;15.575033121856805;16.833091921368474;14.981180113752393;29.581202525011737;15.917887482822769
nordeste;2.6713222786826756;3.039004988290057;2.993561102028616;3.3028756940863104;3.116961679345086;5.0742100371270284;3.2499225625260455
maranhão;14.843411152666615;16.117466594558366;15.586444861566333;16.508041661733703;16.67393617465977;17.279506610937556;17.373776574127703
piauí;14.532995025832486;16.045399623730212;17.655935174469573;15.204558927546431;15.782080159049995;42.350386553374086;14.812411734679138
ceará;4.566906882314461;5.181759630826851;4.828457384829426;6.345048547529662;5.209288273611449;12.902482151583458;5.252255745929859
rio grande do norte;7.229802991765909;8.41891746997105;8.17176864616547;10.445879092467365;8.560799081007255;16.331299719194696;8.979991139419088
paraíba;9.69422194094302;13.833350255130307;10.793385061784049;14.058632583384904;10.463204640077914;25.50745373636522;11.226015179026199
pernambuco;5.3484244528604075;7.136606072102084;5.801858384784846;6.602241938174776;6.038327803265321;12.95419881971003;6.118267095997847
alagoas;12.772866499856407;14.788017156970296;13.364218836196224;18.500132739325956;14.273923401342067;31.206153255775646;14.952872390960971
sergipe;7.304450220989305;8.684055345127959;9.822139478950422;10.048643233137241;7.986058802435184;18.569670809736774;7.918220323877414
bahia;5.222039048775633;5.906270047944444;5.821368391250776;7.44783498109871;5.5186459989561065;6.824079531588912;6.425298656270497
sudeste;2.5105869713056843;2.7830027940246578;2.935472929907111;3.0111686312527906;3.104010288341501;6.0181799402825575;3.307674452995643
minas gerais;4.687770414397508;5.578587627029527;5.299783524344431;5.592656265644516;6.117583209167653;11.583412179857815;6.440859411981068
espírito santo;8.839237067717818;11.230219137310701;10.657101924164783;12.574622898694557;9.650485508233226;17.903794342871837;10.587192643858138
rio de janeiro;4.454684999137527;4.857220212508453;5.498921875818968;5.046427674620752;6.247777623812099;10.724983010572364;6.697608053715594
são paulo;3.725311278034625;4.065849470264122;4.340142628547152;4.242376085352831;4.722113852021211;9.824993420582356;5.020825040623829
sul;3.3038176206332066;3.4923263111313596;4.174548232511482;3.6371560248645802;5.038293180656011;9.720718716737254;5.941965514912876
paraná;4.455769986145647;4.768401727326224;5.75016182687574;4.6454217713806525;7.146070345771949;19.71672691051787;8.018455316692904
santa catarina;11.391035733586113;11.282752991435062;14.271012327213588;13.364338730988703;11.156097448105015;32.175085154571555;11.589061322433114
rio grande do sul;4.760998596449217;5.064910936558605;6.227641600329654;4.879147863745116;8.871159706195447;11.519651546181862;11.994946089996331
centro-oeste;3.3689617912009093;3.8139341341937687;4.08022270781506;4.182198127418479;3.9674540031916448;7.4186665504828015;4.122039052548024
mato grosso do sul;15.458149583637109;15.696290814716168;17.815350020937554;17.00992730983735;17.77616276055578;31.259643043796736;16.3942540124089
mato grosso;6.518166846612028;7.377318934638513;8.325454533727587;8.293692001972637;8.254343257708113;15.819512327070186;8.759429081753986
goiás;5.08302107750314;5.754733398498938;6.400918164340347;6.463663086001246;5.815744788078375;10.981629454074431;6.106462153549687
distrito federal;5.4805777240832345;6.255014853078334;6.504829021806389;7.1880220327618725;6.461393788016418;13.23943766533303;6.913342625723014
