;total;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade;grupos de idade
;total;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               brasil;0.0;3.58;1.6;1.54;1.31;2.17;3.31;4.12
urbana;0.0;3.66;1.64;1.58;1.35;2.27;3.42;4.29
rural;0.0;16.75;7.99;7.07;5.55;7.74;11.24;13.89
norte;0.0;7.88;3.84;3.64;3.07;5.59;9.72;13.82
rondônia;0.0;21.23;11.3;9.23;7.87;12.25;25.75;27.28
acre;0.0;28.86;15.61;11.44;11.72;13.96;27.44;23.71
amazonas;0.0;23.39;10.63;12.05;10.72;16.11;32.59;41.63
roraima;0.0;19.03;11.54;10.58;10.1;21.17;67.62;
pará;0.0;11.04;5.25;4.91;4.07;8.57;14.54;23.15
amapá;0.0;39.9;11.73;15.13;14.12;18.41;39.26;77.56
tocantins;0.0;24.88;15.75;16.83;11.9;16.63;17.57;32.36
nordeste;0.0;5.95;2.52;2.58;2.34;3.96;6.26;7.95
maranhão;0.0;22.17;9.1;10.1;8.64;18.83;32.04;22.98
piauí;0.0;41.42;19.19;19.54;10.4;22.99;25.71;29.75
ceará;0.0;10.86;4.98;4.98;4.23;8.09;12.78;20.47
rio grande do norte;0.0;24.3;8.5;9.43;9.34;14.29;27.25;23.12
paraíba;0.0;28.77;12.0;10.97;13.24;20.57;25.21;40.76
pernambuco;0.0;14.28;5.44;5.51;5.28;8.59;12.14;19.33
alagoas;0.0;38.69;12.78;12.69;13.95;21.56;32.42;43.0
sergipe;0.0;20.5;8.94;11.39;10.5;12.67;17.55;26.17
bahia;0.0;10.64;5.01;4.85;4.37;7.14;12.82;15.44
sudeste;0.0;7.42;3.23;2.88;2.43;3.75;5.51;6.66
minas gerais;0.0;14.37;6.49;5.42;4.4;7.29;10.02;12.42
espírito santo;0.0;27.87;12.01;10.17;8.72;18.24;23.12;31.4
rio de janeiro;0.0;15.87;6.54;5.58;4.76;7.23;11.31;13.72
são paulo;0.0;10.24;4.64;4.19;3.51;5.43;8.06;9.53
sul;0.0;8.55;3.75;3.85;3.12;4.72;6.84;9.37
paraná;0.0;12.22;5.79;5.96;5.08;8.28;10.63;15.68
santa catarina;0.0;22.54;11.47;10.0;6.86;10.7;16.59;21.94
rio grande do sul;0.0;12.85;4.92;5.8;4.47;5.97;10.49;13.39
centro-oeste;0.0;8.05;3.96;3.99;3.28;5.42;9.39;10.69
mato grosso do sul;0.0;29.53;12.3;13.09;11.1;14.77;27.5;29.39
mato grosso;0.0;15.8;11.52;8.03;7.77;13.78;21.65;29.98
goiás;0.0;13.83;5.85;6.27;4.87;7.61;13.92;14.34
