;"Total
(1)";Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;"Menos
de 1/4 ";"1/4 a menos
de 1/2 ";"1/2 a menos
de 1 ";"1 a menos
de 2";2 ou mais ;"Sem
rendimento
(2)"
               Brasil;1.44;4.87;3.0;2.18;1.99;2.19;9.09
Situação do domicílio;;;;;;;
Urbana;1.43;4.99;3.02;2.22;2.04;2.21;9.74
Rural;5.49;10.61;9.41;7.76;8.41;10.76;21.94
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;4.95;12.44;7.53;5.92;5.22;5.49;21.33
Rondônia;8.82;32.51;18.32;10.35;12.5;13.7;52.65
Acre;15.85;37.09;29.21;18.97;16.2;13.11;55.05
Amazonas;11.66;24.92;23.03;17.0;14.36;18.26;50.71
Roraima;11.4;32.4;23.63;19.78;17.47;16.54;95.35
Pará;7.66;17.48;10.06;8.55;8.16;8.59;32.51
Amapá;16.45;38.22;24.51;17.88;19.69;21.37;56.97
Tocantins;13.73;24.56;29.52;14.85;14.05;12.8;
Nordeste;2.68;6.77;4.67;3.58;3.69;4.13;14.63
Maranhão;14.88;33.57;23.98;15.07;12.28;19.66;28.54
Piauí;14.69;33.0;29.72;20.7;16.68;20.36;96.82
Ceará;4.51;10.57;8.23;7.33;6.47;8.72;45.15
Rio Grande do Norte;7.28;27.77;15.65;10.82;12.71;17.0;52.36
Paraíba;9.79;23.88;13.7;16.53;15.19;16.82;67.26
Pernambuco;5.35;12.22;9.47;7.93;8.7;9.04;26.78
Alagoas;12.79;27.13;18.02;18.58;24.87;23.85;55.55
Sergipe;7.29;25.8;12.4;11.81;10.53;15.73;89.44
Bahia;5.24;12.97;8.42;7.56;7.73;6.22;30.65
Sudeste;2.51;11.76;6.53;4.38;3.49;3.54;17.46
Minas Gerais;4.69;20.99;11.35;7.7;5.95;6.8;35.51
Espírito Santo;8.78;28.68;19.45;14.2;14.14;13.1;68.74
Rio de Janeiro;4.47;27.05;13.89;7.97;6.74;6.21;30.56
São Paulo;3.72;17.28;10.33;6.98;5.08;5.06;26.05
Sul;3.31;15.0;8.95;5.63;4.52;4.55;25.17
Paraná;4.47;22.55;13.28;8.23;6.3;6.76;36.78
Santa Catarina;11.43;51.2;27.48;14.41;14.58;13.0;74.13
Rio Grande do Sul;4.77;20.77;13.42;9.2;6.0;5.94;35.78
Centro-Oeste;3.36;16.14;7.65;5.09;4.78;4.96;24.29
Mato Grosso do Sul;15.59;54.6;24.34;15.64;17.84;16.7;80.34
Mato Grosso;6.53;37.76;23.73;12.06;10.06;9.03;59.05
Goiás;5.05;20.68;9.5;7.35;6.94;8.74;39.65
Distrito Federal;5.51;23.18;14.57;9.35;9.02;8.03;32.38
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;;
