;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;1.44;4.01;2.13;2.75;2.85;1.87;3.02;2.84
Situação do domicílio;;;;;;;;
Urbana;1.43;4.19;2.15;2.81;2.9;1.88;3.05;2.84
Rural;5.48;8.85;6.14;12.24;15.05;9.79;26.32;21.45
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;4.95;12.39;6.56;6.94;6.63;5.33;7.84;7.39
Rondônia;8.78;20.29;10.81;16.16;16.94;13.59;15.18;20.89
Acre;15.8;29.29;19.9;26.12;20.73;17.94;30.44;19.91
Amazonas;11.6;23.85;15.41;22.76;23.26;14.48;22.84;28.66
Roraima;11.47;41.23;18.51;23.63;24.32;11.37;31.4;21.21
Pará;7.68;20.69;9.68;9.58;8.87;7.87;13.16;11.86
Amapá;16.43;85.63;23.95;21.08;24.15;16.69;21.68;29.19
Tocantins;13.7;32.76;16.83;32.1;31.11;16.42;20.93;15.98
Nordeste;2.67;6.41;3.96;5.34;5.08;3.08;5.55;5.13
Maranhão;14.84;27.56;20.73;27.67;23.18;11.08;30.23;29.43
Piauí;14.53;20.21;20.25;21.05;27.15;23.21;31.24;23.43
Ceará;4.57;15.33;7.01;6.38;8.74;5.33;10.64;9.33
Rio Grande do Norte;7.23;21.33;11.56;18.24;18.36;10.0;15.79;24.11
Paraíba;9.69;19.67;14.24;21.87;20.08;15.0;26.85;20.32
Pernambuco;5.35;13.22;9.6;10.78;12.2;6.74;11.36;10.28
Alagoas;12.77;24.94;17.49;22.78;31.38;21.39;32.86;21.41
Sergipe;7.3;19.2;11.89;19.85;16.66;12.45;19.25;17.48
Bahia;5.22;13.21;7.12;9.7;8.99;6.38;10.62;8.82
Sudeste;2.51;7.49;3.91;4.83;5.63;3.38;5.07;4.49
Minas Gerais;4.69;13.58;6.91;8.98;9.63;6.77;10.41;9.4
Espírito Santo;8.84;22.89;15.1;16.33;19.27;13.18;22.3;19.54
Rio de Janeiro;4.45;16.4;7.46;8.73;10.57;6.33;9.34;7.37
São Paulo;3.73;10.53;6.0;7.27;8.46;4.87;7.39;6.23
Sul;3.3;12.25;5.13;6.29;6.95;4.47;7.09;6.12
Paraná;4.46;18.09;7.5;9.05;11.11;6.51;11.74;9.05
Santa Catarina;11.39;23.58;15.0;19.31;19.91;15.8;26.71;14.77
Rio Grande do Sul;4.76;23.55;7.28;9.64;9.21;5.93;7.81;8.8
Centro-Oeste;3.37;9.77;5.06;6.9;6.76;4.74;8.35;6.95
Mato Grosso do Sul;15.46;30.23;21.69;22.23;24.71;14.28;26.04;26.36
Mato Grosso;6.52;27.79;9.6;19.32;16.39;10.48;16.97;15.32
Goiás;5.08;12.15;7.15;9.76;10.12;8.05;13.26;10.83
Distrito Federal;5.48;29.09;8.02;12.16;10.65;7.24;14.21;11.71
