;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;1.44;1.47;1.5;3.2;2.2
Situação do domicílio;;;;;
Urbana;1.43;1.45;1.48;3.26;2.2
Rural;5.48;5.66;5.61;20.16;8.92
Grandes Regiões e Unidades da Federação;;;;;
Norte;4.95;4.99;4.88;9.5;6.35
Rondônia;8.78;9.14;9.67;22.4;12.14
Acre;15.8;19.54;19.84;41.0;16.38
Amazonas;11.6;11.81;11.51;22.1;16.12
Roraima;11.47;11.91;12.66;20.89;16.79
Pará;7.68;7.53;7.3;13.51;10.31
Amapá;16.43;16.04;16.02;27.1;19.9
Tocantins;13.7;15.77;17.01;27.25;13.07
Nordeste;2.67;2.67;2.83;4.81;3.95
Maranhão;14.84;11.72;12.25;19.26;23.26
Piauí;14.53;15.35;15.42;31.17;20.54
Ceará;4.57;4.82;5.12;9.09;6.71
Rio Grande do Norte;7.23;8.58;9.41;14.13;11.19
Paraíba;9.69;9.28;9.21;23.18;15.24
Pernambuco;5.35;6.48;7.14;10.62;6.93
Alagoas;12.77;12.21;11.85;33.96;17.38
Sergipe;7.3;8.22;9.53;16.84;8.9
Bahia;5.22;5.61;5.84;9.55;6.86
Sudeste;2.51;2.59;2.63;6.03;3.93
Minas Gerais;4.69;5.29;5.46;10.66;6.42
Espírito Santo;8.84;9.28;9.79;23.05;15.21
Rio de Janeiro;4.45;4.62;4.63;13.77;7.11
São Paulo;3.73;3.78;3.84;8.4;5.89
Sul;3.3;3.27;3.39;8.56;5.56
Paraná;4.46;4.67;4.79;12.7;7.3
Santa Catarina;11.39;11.09;11.25;36.26;18.54
Rio Grande do Sul;4.76;4.4;4.63;11.2;8.54
Centro-Oeste;3.37;3.45;3.43;8.05;5.32
Mato Grosso do Sul;15.46;15.6;14.8;32.07;19.98
Mato Grosso;6.52;6.7;6.64;25.18;11.19
Goiás;5.08;5.15;5.18;11.25;8.8
