;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;1.4990628810626068;5.333184811250635;2.9907790923155497;3.8285841844009405;2.286969305550248;1.7171194923578794
Situação do domicílio;;;;;;
Urbana;1.48;6.6;3.04;3.96;2.31;1.74
Rural;5.59;6.89;16.71;16.57;12.7;9.35
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.9;12.83;9.65;9.16;5.78;5.23
Rondônia;9.67;21.36;23.37;18.71;10.9;11.65
Acre;19.84;34.72;27.59;26.26;32.4;17.76
Amazonas;11.5;46.89;22.0;33.87;15.67;12.38
Roraima;12.66;57.32;39.93;26.27;17.91;17.26
Pará;7.36;17.11;13.44;12.57;8.68;7.9
Amapá;16.02;95.53;41.56;32.03;16.07;17.55
Tocantins;17.01;18.23;29.54;33.33;13.8;18.92
Nordeste;2.83;9.27;5.76;6.87;4.04;2.76
Maranhão;12.26;38.13;24.37;26.25;15.99;12.7
Piauí;15.39;25.21;36.36;34.13;16.93;15.86
Ceará;5.15;15.35;10.85;11.64;6.85;4.9
Rio Grande do Norte;9.41;39.45;16.02;27.07;14.64;10.93
Paraíba;9.23;36.23;26.88;21.49;14.53;12.69
Pernambuco;7.24;20.42;15.34;18.31;10.64;6.89
Alagoas;11.85;30.21;45.34;38.03;27.34;14.19
Sergipe;9.49;32.67;19.89;22.52;12.18;10.06
Bahia;5.82;15.59;10.78;13.9;8.16;5.04
Sudeste;2.63;11.95;4.91;7.44;4.37;3.07
Minas Gerais;5.46;16.91;10.52;12.58;8.21;6.13
Espírito Santo;9.79;28.92;21.47;22.55;18.63;11.59
Rio de Janeiro;4.65;40.25;10.79;16.57;9.23;5.39
São Paulo;3.84;21.72;6.45;11.4;6.1;4.57
Sul;3.39;11.71;6.34;8.6;5.49;4.12
Paraná;4.79;16.65;9.26;13.96;8.59;6.51
Santa Catarina;11.26;24.13;16.09;20.11;17.73;13.91
Rio Grande do Sul;4.61;20.86;10.14;11.74;6.97;4.97
Centro-Oeste;3.43;10.96;8.41;9.49;5.41;4.03
Mato Grosso do Sul;14.8;37.73;28.78;41.37;17.14;15.67
Mato Grosso;6.64;21.68;17.76;30.49;14.54;8.48
Goiás;5.16;13.31;10.32;11.03;7.76;6.49
Distrito Federal;5.67;78.95;19.67;19.11;8.34;6.47
