;total;agrícola;indústria;construção;comércio e reparação;serviços
               brasil;1.5;5.33;2.99;3.83;2.29;1.72
urbana;1.48;6.6;3.04;3.96;2.31;1.74
rural;5.59;6.89;16.71;16.57;12.7;9.35
norte;4.9;12.83;9.65;9.16;5.78;5.23
rondônia;9.67;21.36;23.37;18.71;10.9;11.65
acre;19.84;34.72;27.59;26.26;32.4;17.76
amazonas;11.5;46.89;22.0;33.87;15.67;12.38
roraima;12.66;57.32;39.93;26.27;17.91;17.26
pará;7.36;17.11;13.44;12.57;8.68;7.9
amapá;16.02;95.53;41.56;32.03;16.07;17.55
tocantins;17.01;18.23;29.54;33.33;13.8;18.92
nordeste;2.83;9.27;5.76;6.87;4.04;2.76
maranhão;12.26;38.13;24.37;26.25;15.99;12.7
piauí;15.39;25.21;36.36;34.13;16.93;15.86
ceará;5.15;15.35;10.85;11.64;6.85;4.9
rio grande do norte;9.41;39.45;16.02;27.07;14.64;10.93
paraíba;9.23;36.23;26.88;21.49;14.53;12.69
pernambuco;7.24;20.42;15.34;18.31;10.64;6.89
alagoas;11.85;30.21;45.34;38.03;27.34;14.19
sergipe;9.49;32.67;19.89;22.52;12.18;10.06
bahia;5.82;15.59;10.78;13.9;8.16;5.04
sudeste;2.63;11.95;4.91;7.44;4.37;3.07
minas gerais;5.46;16.91;10.52;12.58;8.21;6.13
espírito santo;9.79;28.92;21.47;22.55;18.63;11.59
rio de janeiro;4.65;40.25;10.79;16.57;9.23;5.39
são paulo;3.84;21.72;6.45;11.4;6.1;4.57
sul;3.39;11.71;6.34;8.6;5.49;4.12
paraná;4.79;16.65;9.26;13.96;8.59;6.51
santa catarina;11.26;24.13;16.09;20.11;17.73;13.91
rio grande do sul;4.61;20.86;10.14;11.74;6.97;4.97
centro-oeste;3.43;10.96;8.41;9.49;5.41;4.03
mato grosso do sul;14.8;37.73;28.78;41.37;17.14;15.67
mato grosso;6.64;21.68;17.76;30.49;14.54;8.48
goiás;5.16;13.31;10.32;11.03;7.76;6.49
distrito federal;5.67;78.95;19.67;19.11;8.34;6.47
